Name,Señales,Score_Explosion,Detalle,wOBA,xwOBA,BABIP,EV,Barrel%,diff_xwoba
Gage Workman,5,14,xwOBA supera wOBA en +0.057 | BABIP muy bajo 0.231 — hits no caen | EV élite 96.1 mph | Barrel rate élite 26.7% | xBA 0.253 supera BA 0.179,0.272,0.329,0.231,96.1,26.7,0.057
Jahmai Jones,5,14,xwOBA supera wOBA en +0.089 | BABIP muy bajo 0.235 — hits no caen | EV élite 92.5 mph | Barrel rate élite 13.9% | xBA 0.261 supera BA 0.175,0.26,0.349,0.235,92.5,13.9,0.089
Zach Cole,5,14,xwOBA supera wOBA en +0.042 | BABIP muy bajo 0.227 — hits no caen | EV élite 92.8 mph | Barrel rate élite 20.0% | xBA 0.226 supera BA 0.186,0.27,0.312,0.227,92.8,20.0,0.042
Will Benson,5,13,xwOBA supera wOBA en +0.042 | BABIP muy bajo 0.239 — hits no caen | EV alto 91.7 mph | Barrel rate élite 13.3% | xBA 0.204 supera BA 0.171,0.287,0.329,0.239,91.7,13.3,0.042
Tyler Stephenson,5,13,xwOBA supera wOBA en +0.054 | BABIP muy bajo 0.235 — hits no caen | EV alto 90.8 mph | Barrel rate élite 12.3% | xBA 0.215 supera BA 0.183,0.271,0.325,0.235,90.8,12.3,0.054
Randal Grichuk,5,13,xwOBA supera wOBA en +0.054 | BABIP muy bajo 0.243 — hits no caen | EV alto 91.8 mph | Barrel rate élite 19.5% | xBA 0.302 supera BA 0.245,0.346,0.4,0.243,91.8,19.5,0.054
Trent Grisham,5,13,xwOBA supera wOBA en +0.039 | BABIP muy bajo 0.181 — hits no caen | EV alto 91.4 mph | Barrel rate élite 14.8% | xBA 0.215 supera BA 0.174,0.299,0.338,0.181,91.4,14.8,0.039
Andrés Chaparro,5,13,xwOBA supera wOBA en +0.169 | BABIP muy bajo 0.200 — hits no caen | EV élite 93.7 mph | Barrel rate alto 10.0% | xBA 0.303 supera BA 0.167,0.286,0.455,0.2,93.7,10.0,0.169
Dillon Dingler,5,12,xwOBA supera wOBA en +0.049 | BABIP bajo 0.259 | EV alto 90.4 mph | Barrel rate élite 13.7% | xBA 0.294 supera BA 0.241,0.346,0.395,0.259,90.4,13.7,0.049
Ke'Bryan Hayes,5,12,xwOBA supera wOBA en +0.118 | BABIP muy bajo 0.153 — hits no caen | EV alto 90.5 mph | Barrel rate alto 9.4% | xBA 0.259 supera BA 0.142,0.194,0.312,0.153,90.5,9.4,0.118
Bryce Eldridge,4,11,xwOBA supera wOBA en +0.069 | BABIP muy bajo 0.190 — hits no caen | EV élite 93.0 mph | xBA 0.248 supera BA 0.156,0.22,0.289,0.19,93.0,4.5,0.069
Jarred Kelenic,4,11,xwOBA supera wOBA en +0.086 | EV élite 95.3 mph | Barrel rate élite 22.6% | xBA 0.262 supera BA 0.224,0.285,0.371,0.333,95.3,22.6,0.086
Lawrence Butler,4,10,xwOBA supera wOBA en +0.053 | BABIP muy bajo 0.222 — hits no caen | EV alto 90.4 mph | xBA 0.228 supera BA 0.169,0.244,0.297,0.222,90.4,6.6,0.053
Austin Wells,4,10,xwOBA supera wOBA en +0.047 | BABIP muy bajo 0.208 — hits no caen | EV alto 90.3 mph | xBA 0.208 supera BA 0.165,0.252,0.299,0.208,90.3,6.3,0.047
Heriberto Hernández,4,10,xwOBA supera wOBA en +0.101 | BABIP muy bajo 0.215 — hits no caen | EV alto 90.7 mph | xBA 0.261 supera BA 0.174,0.241,0.342,0.215,90.7,6.1,0.101
Vaughn Grissom,4,10,xwOBA supera wOBA en +0.045 | BABIP muy bajo 0.229 — hits no caen | EV alto 90.9 mph | xBA 0.262 supera BA 0.226,0.299,0.344,0.229,90.9,5.9,0.045
Henry Davis,4,10,xwOBA supera wOBA en +0.044 | BABIP muy bajo 0.149 — hits no caen | EV alto 90.4 mph | xBA 0.203 supera BA 0.143,0.243,0.287,0.149,90.4,9.0,0.044
Griffin Conine,4,10,xwOBA supera wOBA en +0.101 | EV alto 90.1 mph | Barrel rate élite 25.0% | xBA 0.376 supera BA 0.273,0.412,0.513,0.286,90.1,25.0,0.101
Patrick Bailey,4,10,xwOBA supera wOBA en +0.089 | BABIP muy bajo 0.164 — hits no caen | EV alto 90.1 mph | xBA 0.219 supera BA 0.140,0.194,0.283,0.164,90.1,6.8,0.089
Zack Short,4,10,xwOBA supera wOBA en +0.078 | BABIP muy bajo 0.100 — hits no caen | EV alto 91.1 mph | xBA 0.137 supera BA 0.067,0.223,0.301,0.1,91.1,0.0,0.078
Jasson Domínguez,4,10,xwOBA supera wOBA en +0.061 | BABIP muy bajo 0.200 — hits no caen | EV alto 91.9 mph | xBA 0.326 supera BA 0.200,0.274,0.335,0.2,91.9,0.0,0.061
Coby Mayo,4,9,xwOBA supera wOBA en +0.025 | BABIP muy bajo 0.225 — hits no caen | EV alto 90.9 mph | xBA 0.218 supera BA 0.183,0.267,0.292,0.225,90.9,8.2,0.025
Travis d'Arnaud,3,9,xwOBA supera wOBA en +0.051 | BABIP muy bajo 0.222 — hits no caen | Barrel rate élite 14.3%,0.286,0.337,0.222,87.7,14.3,0.051
Jackson Merrill,4,9,xwOBA supera wOBA en +0.039 | BABIP bajo 0.260 | Barrel rate alto 9.4% | xBA 0.235 supera BA 0.203,0.266,0.305,0.26,89.6,9.4,0.039
Justin Foscue,3,8,xwOBA supera wOBA en +0.024 | EV élite 93.6 mph | Barrel rate élite 16.0%,0.4,0.424,0.391,93.6,16.0,0.024
Ryan McMahon,4,8,xwOBA supera wOBA en +0.024 | BABIP bajo 0.253 | EV alto 90.8 mph | Barrel rate alto 9.2%,0.262,0.286,0.253,90.8,9.2,0.024
Tyler Heineman,3,8,xwOBA supera wOBA en +0.042 | BABIP muy bajo 0.184 — hits no caen | xBA 0.178 supera BA 0.143,0.156,0.198,0.184,83.2,0.0,0.042
Michael Helman,3,8,xwOBA supera wOBA en +0.083 | BABIP muy bajo 0.200 — hits no caen | xBA 0.240 supera BA 0.167,0.15,0.233,0.2,83.2,0.0,0.083
Jesus Rodriguez,3,8,xwOBA supera wOBA en +0.049 | BABIP muy bajo 0.200 — hits no caen | xBA 0.283 supera BA 0.200,0.264,0.313,0.2,85.5,0.0,0.049
Jose Trevino,3,8,xwOBA supera wOBA en +0.051 | BABIP muy bajo 0.167 — hits no caen | xBA 0.190 supera BA 0.138,0.156,0.207,0.167,84.7,0.0,0.051
Rafael Marchán,3,8,xwOBA supera wOBA en +0.055 | BABIP muy bajo 0.089 — hits no caen | xBA 0.153 supera BA 0.086,0.129,0.184,0.089,85.7,2.2,0.055
