"last_name, first_name",player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,walk,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,babip,b_rbi,b_total_bases,r_total_stolen_base,b_ab_scoring,b_game,b_intent_walk,r_stolen_base_pct,xba,xslg,woba,xwoba,xobp,xiso,xbadiff,xslgdiff,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,attack_angle,attack_direction,ideal_angle_rate,vertical_swing_path,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent
"Rosario, Amed",642708,2025,29,181,191,50,33,11,0,6,7,3.7,0.276,0.436,0.309,0.745,0.16,0.303,23,79,1,39,62,0,,0.288,0.439,0.321,0.331,0.323,0.151,-0.012,-0.003,73.2,29.9,15.6,12.3,35.0,27.6,7.3,4,6.4,-4.5,50.6,30.1,91.2,9.9,35.1,6.0,8.6,45.0
"Stott, Bryson",681082,2025,27,499,560,128,90,22,3,13,54,9.6,0.257,0.391,0.328,0.719,0.134,0.288,66,195,24,134,147,1,,0.247,0.393,0.315,0.313,0.32,0.146,0.01,-0.002,69.4,5.7,10.5,9.0,33.6,28.7,7.2,11,7.5,2.1,51.4,32.8,87.6,14.9,36.0,5.1,6.8,29.5
"Myers, Dane",667472,2025,29,307,333,72,56,10,0,6,23,6.9,0.235,0.326,0.291,0.617,0.091,0.293,31,100,18,81,106,0,,0.251,0.398,0.275,0.308,0.307,0.147,-0.016,-0.072,71.0,17.8,15.8,12.0,40.1,30.4,7.2,8,10.9,3.7,63.2,27.1,90.7,10.5,34.6,7.8,4.8,42.0
"Urshela, Gio",570482,2025,33,181,197,43,28,14,1,0,13,6.6,0.238,0.326,0.287,0.613,0.088,0.303,20,59,0,48,59,0,,0.251,0.349,0.271,0.286,0.3,0.098,-0.013,-0.023,68.6,5.4,10.2,7.2,35.8,25.2,7.2,11,11.0,3.6,58.2,36.2,86.9,10.6,41.7,2.1,5.6,34.0
"Trevino, Jose",624431,2025,32,282,302,67,43,20,0,4,15,5.0,0.238,0.351,0.272,0.623,0.113,0.259,22,99,0,66,93,0,,0.242,0.355,0.271,0.278,0.279,0.113,-0.004,-0.004,68.9,2.6,14.5,12.0,42.0,34.7,7.2,12,9.1,-2.3,72.8,23.3,87.9,10.9,29.0,4.4,8.1,40.7
"Cortes, Carlos",666126,2025,28,94,99,29,16,8,1,4,3,3.0,0.309,0.543,0.323,0.866,0.234,0.347,14,51,0,18,42,0,,0.27,0.446,0.363,0.316,0.293,0.177,0.039,0.097,71.1,17.4,13.8,11.0,35.0,27.7,7.1,6,9.0,-1.8,57.4,26.3,89.8,16.3,36.8,9.2,6.6,44.7
"Melendez, MJ",669004,2025,26,60,65,5,2,2,0,1,3,4.6,0.083,0.167,0.154,0.321,0.084,0.111,1,10,0,10,23,0,,0.137,0.261,0.151,0.208,0.203,0.124,-0.054,-0.094,72.8,25.5,12.3,7.8,33.8,21.6,7.7,5,11.2,-2.9,61.8,28.6,90.9,25.0,21.6,8.1,5.4,45.9
"Schmitt, Casey",669477,2025,26,312,348,74,47,15,0,12,27,7.8,0.237,0.401,0.305,0.706,0.164,0.282,40,125,0,70,95,1,,0.256,0.436,0.307,0.328,0.323,0.18,-0.019,-0.035,71.7,20.6,14.1,10.7,30.5,23.1,7.5,5,11.4,-7.7,47.1,35.0,89.5,19.2,40.3,9.0,9.0,43.8
"Rengifo, Luis",650859,2025,28,501,541,119,91,16,3,9,33,6.1,0.238,0.335,0.287,0.622,0.097,0.281,43,168,10,101,147,0,,0.26,0.375,0.275,0.302,0.309,0.115,-0.022,-0.04,69.5,7.3,10.9,8.5,34.0,26.7,7.1,13,7.2,3.7,48.9,33.6,87.1,6.7,34.7,5.0,4.0,32.7
"Andujar, Miguel",609280,2025,30,321,341,102,74,17,1,10,17,5.0,0.318,0.47,0.352,0.822,0.152,0.348,44,151,1,81,94,1,,0.259,0.383,0.354,0.298,0.299,0.124,0.059,0.087,71.7,18.4,12.6,10.5,32.1,26.9,7.8,8,6.3,-6.8,53.7,25.8,88.0,11.0,31.8,4.7,6.2,35.4
"Kemp, Otto",805249,2025,25,197,218,46,27,11,0,8,12,5.5,0.234,0.411,0.298,0.709,0.177,0.306,28,81,2,40,62,0,,0.231,0.418,0.308,0.31,0.296,0.187,0.003,-0.007,72.7,26.3,15.4,10.4,32.1,21.6,7.5,11,11.7,-7.7,46.0,34.7,89.9,11.5,38.6,12.1,7.6,44.7
"Davidson, Logan",669722,2025,27,42,47,7,4,2,0,1,3,6.4,0.167,0.286,0.222,0.508,0.119,0.316,4,12,0,8,19,0,,0.138,0.246,0.225,0.198,0.196,0.108,0.029,0.04,72.1,15.2,8.3,5.1,18.8,11.4,7.3,2,12.9,-5.6,36.7,32.3,87.4,12.1,13.6,4.5,9.1,27.3
"Lopez, Otto",672640,2025,26,544,594,134,98,21,0,15,44,7.4,0.246,0.368,0.305,0.673,0.122,0.264,77,200,15,143,143,2,,0.269,0.434,0.295,0.33,0.327,0.165,-0.023,-0.066,71.7,22.0,17.1,14.2,37.7,31.4,6.8,19,7.4,-2.3,48.5,29.9,88.5,8.4,32.5,7.1,6.7,38.3
"Fortes, Nick",663743,2025,28,218,242,50,35,9,1,5,14,5.8,0.229,0.349,0.296,0.645,0.12,0.269,21,76,1,50,97,0,,0.215,0.322,0.286,0.27,0.282,0.107,0.014,0.027,72.0,19.6,12.1,9.9,29.3,24.1,7.3,5,3.5,-7.6,41.3,19.6,87.5,13.4,29.9,4.6,7.5,37.9
"Jung, Josh",673962,2025,27,482,511,121,83,23,1,14,27,5.3,0.251,0.39,0.294,0.684,0.139,0.316,61,188,4,118,131,0,,0.245,0.414,0.298,0.304,0.288,0.169,0.006,-0.024,70.3,5.2,16.8,12.9,33.5,25.7,7.0,17,11.5,2.6,52.8,37.7,89.3,12.8,39.4,8.2,9.3,46.7
"Sosa, Lenyn",672820,2025,25,518,544,137,94,20,1,22,18,3.3,0.264,0.434,0.293,0.727,0.17,0.309,75,225,2,140,140,0,,0.263,0.467,0.313,0.326,0.293,0.204,0.001,-0.033,72.6,26.3,16.2,12.7,34.4,26.9,7.4,9,10.5,0.5,55.4,32.6,90.7,18.4,39.2,10.4,6.8,43.8
"García Jr., Luis",671277,2025,25,488,526,123,78,28,1,16,27,5.1,0.252,0.412,0.289,0.701,0.16,0.27,66,201,14,115,139,1,,0.281,0.47,0.3,0.339,0.32,0.189,-0.029,-0.058,72.4,28.0,18.0,14.6,37.6,30.4,7.4,18,10.7,-2.6,62.4,28.6,90.2,9.2,33.7,9.0,7.5,45.8
"Torkelson, Spencer",679529,2025,25,563,649,135,76,27,1,31,72,11.1,0.24,0.456,0.333,0.789,0.216,0.283,78,257,2,126,155,6,,0.226,0.456,0.339,0.334,0.322,0.23,0.014,0.0,73.0,26.4,15.2,11.5,30.7,23.1,7.8,17,13.5,-8.0,50.0,38.0,90.2,23.1,39.3,13.5,7.8,45.1
"Noel, Jhonkensy",678877,2025,23,148,153,24,16,2,0,6,4,2.6,0.162,0.297,0.183,0.48,0.135,0.198,13,44,0,29,69,0,,0.161,0.287,0.207,0.202,0.183,0.126,0.001,0.01,77.9,73.2,13.2,9.2,20.8,14.4,7.5,6,6.7,-5.0,43.1,29.1,90.3,13.8,25.8,6.2,8.2,41.2
"Machado, Manny",592518,2025,32,615,678,169,109,33,0,27,55,8.1,0.275,0.46,0.335,0.795,0.185,0.307,95,283,14,152,159,4,,0.271,0.495,0.341,0.355,0.334,0.224,0.004,-0.035,74.5,43.0,22.0,16.5,35.4,26.6,7.8,20,7.6,-0.3,54.6,26.5,92.9,14.3,34.8,12.9,7.8,51.5
"Dunn, Blake",694362,2025,26,60,75,9,6,2,0,1,8,10.7,0.15,0.233,0.32,0.553,0.083,0.235,7,14,1,17,30,0,,0.188,0.287,0.272,0.304,0.35,0.099,-0.038,-0.054,70.0,6.4,10.1,7.3,27.8,20.0,6.2,6,4.6,6.2,38.2,38.2,88.6,-0.3,25.7,8.6,0.0,37.1
"Lawlar, Jordan",691783,2025,22,66,74,12,5,7,0,0,6,8.1,0.182,0.288,0.257,0.545,0.106,0.293,5,19,2,11,28,0,,0.19,0.294,0.244,0.253,0.266,0.104,-0.008,-0.006,71.7,18.9,9.9,6.6,25.4,17.0,7.7,3,17.6,-13.3,48.1,34.2,87.0,17.2,36.6,4.9,7.3,34.1
"Riley, Austin",663586,2025,28,416,447,108,71,20,1,16,27,6.0,0.26,0.428,0.309,0.737,0.168,0.337,54,178,2,103,102,1,,0.246,0.472,0.318,0.33,0.298,0.225,0.014,-0.044,75.9,60.5,19.2,13.9,27.6,19.9,7.6,18,10.8,-4.5,45.6,32.2,92.3,16.8,37.0,15.2,8.3,50.2
"Jansen, Danny",643376,2025,30,288,337,62,37,11,0,14,42,12.5,0.215,0.399,0.321,0.72,0.184,0.253,36,115,0,76,98,0,,0.199,0.356,0.318,0.299,0.309,0.157,0.016,0.043,69.5,5.9,10.7,8.5,32.3,25.6,6.9,24,14.9,-5.1,62.4,29.8,87.6,24.0,35.6,8.8,9.3,39.0
