"last_name, first_name",player_id,year,pa,ab,hit,home_run,r_total_stolen_base,walk,strikeout,batting_avg,on_base_percent,slg_percent,on_base_plus_slg,isolated_power,babip,xba,xslg,woba,xwoba,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,r_run,b_rbi
"Walsh, Jared",665120,2022,454,423,91,15,2,27,138,0.215,0.269,0.374,0.643,0.159,0.281,0.219,0.383,0.278,0.282,90.1,10.7,9.5,41,44
"Hill, Derek",656537,2022,92,83,19,1,3,5,28,0.229,0.27,0.289,0.559,0.06,0.327,0.2,0.263,0.249,0.239,85.2,6.6,3.4,8,3
"Slater, Austin",596103,2022,325,277,73,7,12,40,89,0.264,0.366,0.408,0.774,0.144,0.361,0.254,0.438,0.344,0.351,89.0,6.6,10.5,49,34
"O'Hearn, Ryan",656811,2022,145,134,32,1,0,8,35,0.239,0.29,0.321,0.611,0.082,0.313,0.274,0.45,0.272,0.336,92.1,13.4,7.0,14,16
"Pratto, Nick",668472,2022,182,158,29,7,0,19,66,0.184,0.271,0.386,0.657,0.202,0.25,0.169,0.329,0.287,0.269,86.0,19.7,12.5,18,20
"Henderson, Gunnar",683002,2022,132,116,30,4,1,16,34,0.259,0.348,0.44,0.788,0.181,0.333,0.247,0.442,0.343,0.339,92.4,2.0,9.8,12,18
"Maile, Luke",571912,2022,206,181,40,3,0,19,54,0.221,0.301,0.326,0.627,0.105,0.291,0.192,0.313,0.281,0.266,84.5,17.0,5.4,19,17
"Cain, Lorenzo",456715,2022,156,145,26,1,2,8,36,0.179,0.231,0.234,0.465,0.055,0.229,0.201,0.26,0.212,0.234,87.9,3.8,0.0,17,9
"Muncy, Max",571970,2022,565,464,91,21,2,90,141,0.196,0.329,0.384,0.713,0.188,0.227,0.207,0.443,0.318,0.346,90.3,20.9,13.4,69,69
"Pasquantino, Vinnie",686469,2022,298,258,76,10,1,35,34,0.295,0.383,0.45,0.833,0.155,0.306,0.289,0.495,0.365,0.379,91.2,12.1,8.8,25,26
"Kiner-Falefa, Isiah",643396,2022,531,483,126,4,22,35,72,0.261,0.314,0.327,0.641,0.066,0.296,0.261,0.339,0.285,0.292,86.2,4.3,1.2,66,48
"Stassi, Max",545358,2022,375,333,60,9,0,38,112,0.18,0.267,0.303,0.57,0.123,0.239,0.177,0.333,0.258,0.267,88.6,9.5,9.4,32,30
"Toro, Abraham",647351,2022,352,324,60,10,2,22,65,0.185,0.239,0.324,0.563,0.139,0.198,0.225,0.376,0.246,0.284,87.0,16.7,6.8,36,35
"Seager, Corey",608369,2022,663,593,145,33,3,58,103,0.245,0.317,0.455,0.772,0.21,0.242,0.278,0.524,0.331,0.373,91.1,13.6,10.5,91,83
"Brantley, Michael",488726,2022,277,243,70,5,1,31,30,0.288,0.37,0.416,0.786,0.128,0.311,0.304,0.477,0.345,0.374,89.8,10.7,6.0,28,26
"Duran, Ezequiel",677649,2022,220,208,49,5,4,12,54,0.236,0.277,0.365,0.642,0.129,0.295,0.215,0.322,0.282,0.257,85.9,9.5,4.5,25,25
"Rosario, Amed",642708,2022,670,637,180,11,18,25,111,0.283,0.312,0.403,0.715,0.12,0.326,0.274,0.402,0.311,0.311,88.4,5.0,4.5,86,71
"Bradley, Bobby",656252,2022,17,17,2,0,0,0,9,0.118,0.118,0.118,0.236,0.0,0.25,0.14,0.197,0.104,0.144,87.5,2.7,0.0,1,0
"Dalbec, Bobby",666915,2022,353,317,68,12,3,29,118,0.215,0.283,0.369,0.652,0.154,0.293,0.216,0.398,0.287,0.302,90.3,15.2,11.8,40,39
"Giménez, Andrés",665926,2022,557,491,146,17,20,34,112,0.297,0.371,0.466,0.837,0.169,0.353,0.259,0.415,0.364,0.332,87.8,11.7,6.2,66,69
"Stanton, Giancarlo",519317,2022,452,398,84,31,0,50,137,0.211,0.297,0.462,0.759,0.251,0.227,0.236,0.487,0.327,0.35,95.0,10.8,19.3,53,78
"Campusano, Luis",669134,2022,50,48,12,1,0,1,11,0.25,0.26,0.333,0.593,0.083,0.297,0.225,0.356,0.257,0.255,87.7,16.4,5.3,4,5
"Tsutsugo, Yoshi",660294,2022,193,170,29,2,0,19,50,0.171,0.249,0.229,0.478,0.058,0.221,0.194,0.297,0.221,0.257,88.8,10.1,5.6,11,19
"Grisham, Trent",663757,2022,524,451,83,17,7,57,150,0.184,0.284,0.341,0.625,0.157,0.231,0.203,0.37,0.28,0.298,88.3,15.1,8.1,58,53
"Lindor, Francisco",596019,2022,706,630,170,26,16,59,133,0.27,0.339,0.449,0.788,0.179,0.301,0.253,0.439,0.342,0.333,89.3,13.8,8.3,98,107
"Smith, Pavin",656976,2022,277,245,54,9,1,28,67,0.22,0.3,0.367,0.667,0.147,0.262,0.212,0.38,0.294,0.301,87.9,15.2,9.9,24,33
"Tucker, Cole",657061,2022,63,63,11,0,1,0,25,0.175,0.175,0.222,0.397,0.047,0.289,0.182,0.289,0.172,0.202,82.4,4.8,7.9,3,2
"Mazara, Nomar",608577,2022,171,159,42,2,0,10,40,0.264,0.316,0.352,0.668,0.088,0.342,0.249,0.369,0.297,0.297,86.1,17.6,4.2,16,18
"Herrera, Iván",671056,2022,22,18,2,0,0,2,8,0.111,0.19,0.111,0.301,0.0,0.182,0.115,0.14,0.15,0.165,85.2,8.1,0.0,0,1
"Young, Jared",676724,2022,22,19,5,0,1,3,7,0.263,0.364,0.368,0.732,0.105,0.417,0.237,0.386,0.329,0.325,90.7,9.3,8.3,2,0
"Olivares, Edward",658668,2022,174,161,46,4,2,10,36,0.286,0.333,0.41,0.743,0.124,0.344,0.29,0.448,0.326,0.345,89.2,6.6,6.3,24,15
"Guthrie, Dalton",656495,2022,28,21,7,1,1,6,7,0.333,0.5,0.476,0.976,0.143,0.462,0.236,0.343,0.437,0.362,76.8,8.1,7.1,3,5
"Suwinski, Jack",669261,2022,372,326,66,19,4,41,114,0.202,0.298,0.411,0.709,0.209,0.242,0.206,0.416,0.311,0.313,88.3,14.3,12.2,45,38
"Park, Hoy",660829,2022,60,51,11,2,1,4,15,0.216,0.276,0.373,0.649,0.157,0.25,0.208,0.354,0.282,0.273,85.1,10.3,10.0,7,6
"Peraza, Oswald",672724,2022,57,49,15,1,2,6,9,0.306,0.404,0.429,0.833,0.123,0.359,0.278,0.379,0.371,0.345,81.6,5.4,5.0,8,2
"Varsho, Daulton",662139,2022,592,531,125,27,16,46,145,0.235,0.302,0.443,0.745,0.208,0.269,0.213,0.401,0.323,0.301,87.7,14.9,10.2,79,74
"Kelly, Carson",608348,2022,354,317,67,7,2,29,71,0.211,0.282,0.334,0.616,0.123,0.247,0.225,0.362,0.275,0.293,87.7,14.7,5.2,40,35
"Solak, Nick",669256,2022,95,82,17,3,3,7,19,0.207,0.309,0.329,0.638,0.122,0.233,0.243,0.425,0.291,0.339,86.7,5.7,7.8,14,4
"Hays, Austin",669720,2022,582,535,134,16,2,34,114,0.25,0.306,0.413,0.719,0.163,0.289,0.239,0.383,0.314,0.301,87.7,11.3,5.2,66,60
"Sanó, Miguel",593934,2022,71,60,5,1,1,9,25,0.083,0.211,0.133,0.344,0.05,0.114,0.174,0.377,0.176,0.318,93.9,30.0,13.9,1,3
"Sánchez, Jesús",660821,2022,343,313,67,13,1,26,92,0.214,0.28,0.403,0.683,0.189,0.258,0.22,0.39,0.298,0.296,89.5,11.0,9.9,38,36
