Name,SV_2025,SV_2024,ERA,xERA,xwOBA,Closer_Score,Tipo,breakout_score
José A. Ferrer,11.0,1.0,1.88,2.32,0.244,7,Saves 2026 (3 SV) | Historial 2025 (11 SV) | ERA élite 1.88 | xERA élite 2.32,23.290000000000006
Kyle Finnegan,24.0,38.0,1.82,4.43,0.332,7,Élite 2025 (24 SV) | Historial 2024 (38 SV) | ERA élite 1.82,1.2000000000000073
Camilo Doval,16.0,23.0,5.4,2.91,0.273,6,Historial 2025 (16 SV) | Historial 2024 (23 SV) | xERA élite 2.91,22.715000000000003
Jacob Latz,1.0,0.0,1.9,2.21,0.238,6,Oportunidades 2026 (5 SV) | ERA élite 1.90 | xERA élite 2.21,-4.640000000000008
Rico Garcia,0.0,0.0,0.77,2.23,0.239,5,Saves 2026 (3 SV) | ERA élite 0.77 | xERA élite 2.23,11.240000000000004
Brad Keller,3.0,1.0,3.57,2.68,0.262,3,Saves 2026 (3 SV) | xERA élite 2.68,16.850000000000012
Will Vest,23.0,2.0,5.52,3.14,0.283,3,Élite 2025 (23 SV),24.34999999999999
Joel Kuhnel,0.0,0.0,2.14,4.37,0.33,3,Saves 2026 (4 SV) | ERA élite 2.14,-27.20000000000001
Caleb Kilian,0.0,0.0,2.42,3.6,0.302,3,Saves 2026 (3 SV) | ERA élite 2.42,-5.849999999999991
Richard Lovelady,0.0,2.0,2.35,4.08,0.32,3,Saves 2026 (4 SV) | ERA élite 2.35,-16.300000000000004
Kirby Yates,3.0,33.0,4.26,3.7,0.306,2,Historial 2024 (33 SV),23.739000000000008
Seth Halvorsen,11.0,2.0,3.86,5.06,0.352,2,Historial 2025 (11 SV),12.363999999999992
Bryan Abreu,7.0,1.0,6.88,6.39,0.388,2,Saves 2026 (3 SV) | Historial 2025 (7 SV),-2.5649999999999977
Calvin Faucher,15.0,6.0,3.92,4.26,0.326,2,Historial 2025 (15 SV),-2.9799999999999978
Dennis Santana,16.0,3.0,5.48,5.58,0.367,2,Historial 2025 (16 SV),-4.6750000000000185
