Name,Oponente,xwOBA_pred,Prob_favorable,Clasificacion,Fuente_pred,xwOBA_hist,PA_hist,xERA_2025
Logan Gilbert,Cleveland Guardians,0.292,63.9,🟢 Favorable,Hist+ML,0.292,2879,3.06
Jeffrey Springs,Toronto Blue Jays,0.303,69.5,🟡 Normal,Hist+ML,0.301,1461,3.03
Bailey Ober,Baltimore Orioles,0.304,69.9,🟡 Normal,Hist+ML,0.303,2142,3.87
Andrew Abbott,Boston Red Sox,0.304,64.1,🟡 Normal,ML,,0,4.84
Tyler Mahle,New York Yankees,0.306,69.8,🟡 Normal,Hist+ML,0.305,1009,7.06
Chad Patrick,Chicago White Sox,0.307,53.1,🟡 Normal,Hist+ML,0.306,505,3.03
Carmen Mlodzinski,New York Mets,0.309,14.2,🟡 Normal,Hist+ML,0.305,783,3.1
Shane Smith,Milwaukee Brewers,0.309,39.4,🟡 Normal,Hist+ML,0.31,616,4.44
Joe Boyle,St. Louis Cardinals,0.309,84.0,🟡 Normal,Hist+ML,0.308,512,4.26
Brady Singer,Boston Red Sox,0.312,26.7,🟡 Normal,ML,,0,5.14
Yusei Kikuchi,Houston Astros,0.315,26.9,🟡 Normal,ML,,0,5.01
Seth Lugo,Atlanta Braves,0.318,20.5,🟡 Normal,ML,,0,3.71
Taj Bradley,Baltimore Orioles,0.319,25.1,🟡 Normal,Hist+ML,0.318,1643,3.24
Eric Lauer,Athletics,0.32,49.1,🟡 Normal,Hist+ML,0.328,1300,4.47
Luis Severino,Toronto Blue Jays,0.321,8.2,🟡 Normal,Hist+ML,0.32,2292,5.81
Mitch Keller,New York Mets,0.321,23.0,🟡 Normal,ML,,0,3.48
Ryne Nelson,Los Angeles Dodgers,0.322,11.9,🟡 Normal,Hist+ML,0.321,1937,5.07
Eduardo Rodriguez,Los Angeles Dodgers,0.323,20.0,🟡 Normal,Hist+ML,0.324,1932,4.15
Dustin May,Tampa Bay Rays,0.325,22.4,🟡 Normal,Hist+ML,0.329,898,4.26
Will Warren,San Francisco Giants,0.326,29.9,🟡 Normal,Hist+ML,0.33,824,3.64
Michael McGreevy,Tampa Bay Rays,0.326,14.6,🟡 Normal,Hist+ML,0.326,486,7.42
Miles Mikolas,Chicago Cubs,0.326,19.1,🟡 Normal,ML,,0,5.38
Max Meyer,Colorado Rockies,0.334,20.1,🔴 Difícil,Hist+ML,0.337,560,5.24
Sean Burke,Milwaukee Brewers,0.335,30.3,🔴 Difícil,Hist+ML,0.339,674,4.62
Jake Irvin,Chicago Cubs,0.341,14.6,🔴 Difícil,Hist+ML,0.342,2087,5.07
Kyle Freeland,Miami Marlins,0.347,28.9,🔴 Difícil,Hist+ML,0.351,2647,3.85
Randy Vásquez,Detroit Tigers,0.364,12.4,🔴 Difícil,Hist+ML,0.36,1170,5.38
