semana,week_start,week_end,oponente,mis_puntos,opp_puntos,resultado
1,2026-03-25,2026-03-29,Everyone's terror,5.0,4.0,W
2,2026-03-30,2026-04-05,A.Rod Gangs,3.0,9.0,L
3,2026-04-06,2026-04-12,B-Strong,7.0,4.0,W
4,2026-04-13,2026-04-19,LOS GORDITOS DAD & JR 2026 MLB,5.0,6.0,L
5,2026-04-20,2026-04-26,De espalda al aro mmg,9.0,3.0,W
6,2026-04-27,2026-05-03,THE PUNISHER X,3.0,9.0,L
7,2026-05-04,2026-05-10,San Safari Baseball,5.0,5.0,T
8,2026-05-11,2026-05-17,Inmesitas Monas,0.0,12.0,L
9,2026-05-18,2026-05-24,+ MONA QUE FE,9.0,2.0,W
10,2026-05-25,2026-05-31,Team Frank Yankee,6.0,6.0,T
11,2026-06-01,2026-06-07,Los Calvoneros unidos,5.0,7.0,L
12,2026-06-08,2026-06-14,Everyone's terror,6.0,5.0,W
13,2026-06-15,2026-06-21,A.Rod Gangs,6.0,5.0,W
