yahoo_name,yahoo_norm
Ben Rice,ben rice
Bryce Harper,bryce harper
Xavier Edwards,xavier edwards
Alex Bregman,alex bregman
Gunnar Henderson,gunnar henderson
Yordan Alvarez,yordan alvarez
Luis Robert Jr.,luis robert jr
Wilyer Abreu,wilyer abreu
Yandy Díaz,yandy diaz
Max Muncy,max muncy
Ronald Acuña Jr.,ronald acuna jr
Sal Stewart,sal stewart
Willi Castro,willi castro
Kyle Bradish,kyle bradish
Framber Valdez,framber valdez
Robert Garcia,robert garcia
Jordan Romano,jordan romano
Drew Rasmussen,drew rasmussen
Michael King,michael king
Edward Cabrera,edward cabrera
Eury Pérez,eury perez
Robert Suarez,robert suarez
Ryan Pepiot,ryan pepiot
Will Smith,will smith
Michael Busch,michael busch
Brice Turang,brice turang
Jorge Polanco,jorge polanco
Francisco Lindor,francisco lindor
Mike Trout,mike trout
Sal Frelick,sal frelick
Aaron Judge,aaron judge
Ian Happ,ian happ
Kerry Carpenter,kerry carpenter
George Springer,george springer
Giancarlo Stanton,giancarlo stanton
Jackson Holliday,jackson holliday
Cristopher Sánchez,cristopher sanchez
Freddy Peralta,freddy peralta
Andrés Muñoz,andres munoz
Jhoan Duran,jhoan duran
Ranger Suarez,ranger suarez
Shota Imanaga,shota imanaga
Brayan Bello,brayan bello
Jack Leiter,jack leiter
Dustin May,dustin may
David Bednar,david bednar
Gerrit Cole,gerrit cole
Drake Baldwin,drake baldwin
Christian Walker,christian walker
Ketel Marte,ketel marte
Austin Riley,austin riley
Willy Adames,willy adames
Jackson Chourio,jackson chourio
Byron Buxton,byron buxton
Ceddanne Rafaela,ceddanne rafaela
Shohei Ohtani (Batter),shohei ohtani
Gleyber Torres,gleyber torres
Alec Bohm,alec bohm
Seiya Suzuki,seiya suzuki
Cole Ragans,cole ragans
Jacob deGrom,jacob degrom
Emilio Pagán,emilio pagan
Seranthony Domínguez,seranthony dominguez
Nick Pivetta,nick pivetta
Paul Sewald,paul sewald
José Soriano,jose soriano
Sonny Gray,sonny gray
Will Warren,will warren
MacKenzie Gore,mackenzie gore
Cal Raleigh,cal raleigh
Pete Alonso,pete alonso
Ozzie Albies,ozzie albies
Munetaka Murakami,munetaka murakami
CJ Abrams,cj abrams
Kyle Schwarber,kyle schwarber
Chandler Simpson,chandler simpson
Adolis García,adolis garcia
Spencer Torkelson,spencer torkelson
Victor Scott II,victor scott ii
Trent Grisham,trent grisham
Jesús Luzardo,jesus luzardo
Clay Holmes,clay holmes
Edwin Díaz,edwin diaz
Cade Smith,cade smith
Tyler Glasnow,tyler glasnow
Devin Williams,devin williams
Jack Flaherty,jack flaherty
Tanner Bibee,tanner bibee
Chris Sale,chris sale
Shane Baz,shane baz
Parker Messick,parker messick
Shea Langeliers,shea langeliers
Nick Kurtz,nick kurtz
Matt McLain,matt mclain
Kazuma Okamoto,kazuma okamoto
Trevor Story,trevor story
Pete Crow-Armstrong,pete crow armstrong
Taylor Ward,taylor ward
Ryan O'Hearn,ryan ohearn
Caleb Durbin,caleb durbin
Daulton Varsho,daulton varsho
Garrett Crochet,garrett crochet
Joe Ryan,joe ryan
Aroldis Chapman,aroldis chapman
Jeff Hoffman,jeff hoffman
Trevor Rogers,trevor rogers
Tatsuya Imai,tatsuya imai
Kodai Senga,kodai senga
Cade Cavalli,cade cavalli
Matthew Liberatore,matthew liberatore
Bubba Chandler,bubba chandler
Connelly Early,connelly early
Bryan Woo,bryan woo
Salvador Perez,salvador perez
Josh Naylor,josh naylor
Nico Hoerner,nico hoerner
Junior Caminero,junior caminero
Zach Neto,zach neto
Jarren Duran,jarren duran
Riley Greene,riley greene
Kyle Tucker,kyle tucker
