team_id,team_name,manager,bat_score,pit_score,roster_score,wins,losses,ties,win_pct,felo_score,jugadores,roster_norm,winpct_norm,felo_norm,score_compuesto,prob_camp,odds,prob_inicial,tendencia,diff,rank
8,+ Fe que talento,reandol,51.68,18.91,70.59,15,6,3,0.6875,826,23,0.47101891397193424,1.0,0.7767857142857143,0.6908665998431099,12.3,+713,9.4,📈,2.9,1
2,Team Frank Yankee,Francisco,54.76,24.49,79.26,11,10,3,0.5208333333333334,593,25,1.0,0.5294117647058825,0.08333333333333333,0.6754901960784314,12.0,+733,10.3,📈,1.7,2
4,LOS GORDITOS DAD & JR 2026 MLB,Francisco,55.08,19.44,74.52,11,9,4,0.5416666666666666,672,23,0.7107992678462473,0.588235294117647,0.31845238095238093,0.5955606983488939,10.6,+843,9.2,📈,1.4,3
12,De espalda al aro mmg,Angelo,52.35,21.35,73.69,13,10,1,0.5625,586,23,0.6601586333129954,0.6470588235294118,0.0625,0.5366969637153212,9.5,+953,9.5,➡️,0.0,4
10,San Safari Baseball,Felix,55.27,16.69,71.96,8,13,3,0.3958333333333333,901,24,0.5546064673581447,0.1764705882352941,1.0,0.5302444101496606,9.4,+964,10.3,📉,-0.9,5
1,Los Inmensos Amos BT,Aldwin,52.02,15.16,67.18,13,7,4,0.625,805,23,0.26296522269676675,0.8235294117647058,0.7142857142857143,0.521398577734938,9.3,+975,8.3,📈,1.0,6
5,B-Strong,Manuel,53.24,25.62,78.85,6,14,4,0.3333333333333333,594,22,0.9749847467968267,0.0,0.08630952380952381,0.5047542781603181,9.0,+1011,8.2,📈,0.8,7
3,A.Rod Gangs,Wilmer,51.58,15.32,66.9,13,10,1,0.5625,831,25,0.2458816351433805,0.6470588235294118,0.7916666666666666,0.4753917979638471,8.5,+1076,8.9,📉,-0.4,8
11,THE PUNISHER X,Batiando Derecho,54.16,14.76,68.92,12,11,1,0.5208333333333334,688,27,0.36912751677852357,0.5294117647058825,0.36607142857142855,0.41660157351531224,7.4,+1251,7.8,📉,-0.4,9
6,Dando Tabla,Mandel,53.49,18.22,71.71,8,13,3,0.3958333333333333,592,22,0.5393532641854785,0.1764705882352941,0.08035714285714286,0.338689237134756,6.0,+1567,7.2,📉,-1.2,10
9,Los Calvoneros unidos,José,51.99,16.56,68.55,6,14,4,0.3333333333333333,565,25,0.34655277608297724,0.0,0.0,0.17327638804148862,3.1,+3126,8.8,📉,-5.7,11
7,EVERYONE'S TERROR,jensy,51.69,11.17,62.87,10,9,5,0.5208333333333334,571,23,0.0,0.5294117647058825,0.017857142857142856,0.16239495798319328,2.9,+3348,2.3,📈,0.6,12
