Name,pa,home_run,on_base_plus_slg,woba,xwoba,xba,xslg,babip,exit_velocity_avg,barrel_batted_rate
Kyle Tucker,597,22,0.841,0.363,0.372,0.27,0.483,0.282,90.1,10.8
Bo Bichette,628,18,0.84,0.361,0.353,0.295,0.473,0.342,91.0,7.9
Junior Caminero,653,45,0.846,0.357,0.346,0.255,0.501,0.26,92.4,14.0
Josh Naylor,604,20,0.815,0.351,0.335,0.271,0.436,0.315,89.2,6.7
Riley Greene,655,36,0.806,0.343,0.335,0.239,0.494,0.323,89.9,17.1
Zach Neto,554,26,0.793,0.337,0.344,0.251,0.495,0.312,91.0,14.0
Jarren Duran,696,16,0.774,0.335,0.326,0.248,0.41,0.326,91.8,9.7
Nico Hoerner,649,7,0.739,0.324,0.322,0.292,0.391,0.313,86.7,2.3
Heliot Ramos,695,21,0.728,0.319,0.32,0.242,0.417,0.309,91.8,8.8
Salvador Perez,641,30,0.73,0.311,0.357,0.269,0.534,0.251,90.0,14.8
Otto Lopez,594,15,0.673,0.295,0.33,0.269,0.434,0.264,88.5,7.1
Michael Harris II,641,20,0.677,0.289,0.315,0.268,0.438,0.281,90.2,9.1
Dylan Crews,322,10,0.632,0.279,0.307,0.235,0.393,0.246,89.7,9.7
