"last_name, first_name",player_id,year,k_percent,bb_percent,p_out,p_win,p_shutout,p_era,p_opp_batting_avg,p_total_strike,z_swing_miss_percent,oz_swing_miss_percent,pitch_count_fastball,pitch_count_breaking,in_zone_percent,whiff_percent,f_strike_percent,ff_avg_speed,ff_avg_spin,n_sl_formatted,sl_avg_speed,sl_avg_spin,ch_avg_speed,ch_avg_spin,cu_avg_speed,cu_avg_spin,si_avg_speed,si_avg_spin,fc_avg_speed,fc_avg_spin,fs_avg_speed,fs_avg_spin,st_avg_speed,st_avg_spin,fastball_avg_speed,fastball_avg_spin
"Ragans, Cole",666142,2024,29.3,8.8,559,11,0,3.14,,1980,24.3,48.7,1655,723,48.0,32.0,58.7,95.4,2553.0,12.8,86.0,2542.0,84.8,2161.0,80.8,2471.0,96.3,2567.0,90.8,2503.0,,,,,94.4,2542
"Mahle, Tyler",641816,2024,17.9,7.1,38,0,0,4.97,,150,25.3,25.0,129,31,48.0,25.2,66.1,91.4,2317.0,13.5,83.7,2422.0,,,,,,,85.3,2384.0,85.5,2103.0,,,91.0,2321
"Ginkel, Kevin",656464,2024,26.5,5.2,210,8,0,3.21,,760,18.1,47.2,729,455,47.9,27.9,63.9,96.0,2420.0,38.4,87.4,2485.0,,,,,94.4,2283.0,,,,,,,95.8,2400
"Rocker, Kumar",677958,2024,25.5,10.9,35,0,0,3.86,,138,14.5,51.4,129,86,49.1,27.4,65.5,96.0,2146.0,38.5,84.1,2231.0,90.4,1474.0,74.9,2220.0,95.1,2115.0,,,,,,,95.7,2137
"Fedde, Erick",607200,2024,21.2,7.2,532,9,0,3.3,,1781,15.3,37.8,1834,0,47.9,21.6,64.7,93.3,2076.0,,,,87.7,1730.0,,,93.0,1987.0,89.9,2150.0,,,83.5,2356.0,91.4,2071
"Stanek, Ryne",592773,2024,27.8,10.4,166,7,0,4.88,,630,27.3,45.7,606,162,48.1,33.2,66.5,97.8,2330.0,16.6,88.0,2435.0,,,,,95.4,2262.0,,,89.1,967.0,,,97.7,2327
"Kikuchi, Yusei",579328,2024,28.0,6.0,527,9,0,4.05,,1909,21.0,49.5,1374,1224,51.4,29.0,65.4,95.5,2289.0,24.0,88.3,2396.0,86.8,1655.0,82.4,2471.0,,,,,,,,,95.5,2289
"Barlow, Scott",605130,2024,28.2,12.9,165,3,0,4.25,,603,19.4,57.4,346,232,41.4,33.6,58.8,91.4,2386.0,1.7,81.1,2719.0,,,77.3,2598.0,91.1,2274.0,,,,,81.0,2552.0,91.3,2344
"Bernardino, Brennan",657514,2024,24.8,9.7,153,4,0,4.06,,565,18.1,33.7,500,360,54.4,21.8,65.6,,,6.5,84.2,2427.0,,,78.9,2751.0,91.4,2171.0,86.7,2329.0,,,,,90.5,2202
"Burr, Ryan",621114,2024,33.6,8.6,98,0,0,4.13,,376,14.3,62.3,225,345,44.9,31.9,63.6,94.1,2178.0,60.5,85.4,2542.0,,,,,94.2,2312.0,,,,,,,94.1,2179
