"last_name, first_name",player_id,year,pa,ab,hit,home_run,r_total_stolen_base,walk,strikeout,batting_avg,on_base_percent,slg_percent,on_base_plus_slg,isolated_power,babip,xba,xslg,woba,xwoba,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,r_run,b_rbi,last_name,first_name,Name,woba_pred_2026
"Greene, Riley",682985,2026,85,73,18,1,1,12,20,0.247,0.353,0.37,0.723,0.123,0.327,0.269,0.516,0.334,0.386,89.3,11.2,13.2,13,12,Greene,Riley,Riley Greene,0.303
"Hoerner, Nico",663538,2026,92,80,26,3,6,9,9,0.325,0.402,0.525,0.927,0.2,0.333,0.304,0.411,0.41,0.354,85.7,15.0,4.2,13,20,Hoerner,Nico,Nico Hoerner,0.314
"Perez, Salvador",521692,2026,81,75,12,3,0,4,17,0.16,0.21,0.307,0.517,0.147,0.161,0.19,0.346,0.227,0.258,89.0,19.4,10.2,5,6,Perez,Salvador,Salvador Perez,0.273
"Harris II, Michael",671739,2026,70,66,17,3,2,4,15,0.258,0.3,0.409,0.709,0.151,0.292,0.304,0.598,0.318,0.401,93.1,5.5,17.6,7,8,Harris II,Michael,Michael Harris II,0.341
"Tucker, Kyle",663656,2026,90,77,20,3,3,12,19,0.26,0.356,0.403,0.759,0.143,0.304,0.226,0.362,0.345,0.314,88.2,13.9,8.5,16,13,Tucker,Kyle,Kyle Tucker,0.257
"Caminero, Junior",691406,2026,93,80,20,4,0,12,17,0.25,0.344,0.438,0.782,0.188,0.267,0.262,0.417,0.351,0.342,90.2,15.6,9.4,11,9,Caminero,Junior,Junior Caminero,0.338
"Duran, Jarren",680776,2026,71,64,11,1,3,6,20,0.172,0.254,0.266,0.52,0.094,0.233,0.212,0.344,0.244,0.286,89.5,11.4,11.4,12,10,Duran,Jarren,Jarren Duran,0.264
"Bichette, Bo",666182,2026,94,88,20,1,0,5,22,0.227,0.266,0.295,0.561,0.068,0.288,0.29,0.379,0.256,0.309,90.7,5.9,1.5,8,9,Bichette,Bo,Bo Bichette,0.299
"Neto, Zach",687263,2026,104,88,22,5,1,15,29,0.25,0.365,0.477,0.842,0.227,0.315,0.207,0.43,0.374,0.333,89.9,24.4,11.9,18,10,Neto,Zach,Zach Neto,0.293
"Naylor, Josh",647304,2026,91,82,12,2,0,8,16,0.146,0.231,0.22,0.451,0.074,0.156,0.227,0.362,0.211,0.293,87.0,13.5,6.1,4,7,Naylor,Josh,Josh Naylor,0.27
"Jackson, Jeremiah",669236,2026,65,63,19,5,0,0,17,0.302,0.308,0.571,0.879,0.269,0.333,0.263,0.484,0.381,0.326,88.0,3.5,12.8,6,17,Jackson,Jeremiah,Jeremiah Jackson,0.292
