"last_name, first_name",player_id,year,p_game,p_formatted_ip,p_win,p_loss,p_strikeout,p_walk,hit,p_era,p_save,xera,xba,xslg,xwoba,exit_velocity_avg,barrel_batted_rate,p_whip,last_name,first_name,Name,xera_pred_2026
"Gilbert, Logan",669302,2026,8,44.0,2,3,43,10,47,4.3,0,4.78,0.277,0.467,0.343,91.6,10.1,1.295,Gilbert,Logan,Logan Gilbert,4.83
"Perkins, Jack",678022,2026,9,14.2,2,1,19,4,13,3.68,3,3.43,0.241,0.34,0.295,89.0,5.4,1.197,Perkins,Jack,Jack Perkins,4.12
"Soroka, Michael",647336,2026,7,37.0,4,2,42,11,42,4.14,0,5.04,0.274,0.47,0.351,90.3,12.1,1.432,Soroka,Michael,Michael Soroka,4.89
"Castillo, Luis",622491,2026,7,34.1,0,3,31,13,44,6.29,0,5.86,0.304,0.488,0.374,92.2,12.4,1.672,Castillo,Luis,Luis Castillo,4.84
"Fairbanks, Pete",664126,2026,10,9.0,0,2,13,4,9,10.0,5,3.48,0.19,0.405,0.297,93.6,18.2,1.444,Fairbanks,Pete,Pete Fairbanks,9.04
"Severino, Luis",622663,2026,8,43.1,2,3,43,25,39,4.15,0,4.47,0.236,0.393,0.333,89.0,9.5,1.485,Severino,Luis,Luis Severino,4.72
"Yesavage, Trey",702056,2026,2,9.1,1,1,9,3,9,0.96,0,1.6,0.156,0.216,0.201,85.6,3.6,1.319,Yesavage,Trey,Trey Yesavage,4.23
"Meyer, Max",676974,2026,8,42.0,2,0,45,15,31,2.79,0,4.04,0.25,0.392,0.318,89.6,9.8,1.095,Meyer,Max,Max Meyer,4.82
"Springs, Jeffrey",605488,2026,8,44.0,3,2,39,12,38,3.89,0,3.51,0.217,0.389,0.298,87.6,9.4,1.136,Springs,Jeffrey,Jeffrey Springs,4.5
"Varland, Louis",686973,2026,18,18.2,1,1,29,7,14,0.48,4,1.88,0.186,0.216,0.219,87.7,0.0,1.154,Varland,Louis,Louis Varland,4.21
"Montero, Keider",672456,2026,6,33.2,2,2,25,7,27,3.48,0,3.12,0.226,0.368,0.282,91.0,8.0,1.024,Montero,Keider,Keider Montero,4.03
"Rodón, Carlos",607074,2025,33,195.1,18,9,203,73,132,3.09,0,3.33,0.206,0.351,0.285,88.6,7.6,1.051,Rodón,Carlos,Carlos Rodón,3.74
