"last_name, first_name",player_id,year,k_percent,bb_percent,p_out,p_win,p_shutout,p_era,p_opp_batting_avg,p_total_strike,z_swing_miss_percent,oz_swing_miss_percent,pitch_count_fastball,pitch_count_breaking,in_zone_percent,whiff_percent,f_strike_percent,ff_avg_speed,ff_avg_spin,n_sl_formatted,sl_avg_speed,sl_avg_spin,ch_avg_speed,ch_avg_spin,cu_avg_speed,cu_avg_spin,si_avg_speed,si_avg_spin,fc_avg_speed,fc_avg_spin,fs_avg_speed,fs_avg_spin,st_avg_speed,st_avg_spin,fastball_avg_speed,fastball_avg_spin,last_name,first_name,Name,fantasy_score,fantasy_score_actual,fantasy_score_proyectado,tendencia
"Meyer, Max",676974,2025,23.9,7.0,194,3,0,4.73,,668,15.7,58.5,373,367,53.0,27.4,62.8,95.0,2513.0,35.3,89.8,2618.0,89.3,1784.0,,,94.2,2485.0,,,,,86.7,2464.0,94.7,2502.0,Meyer,Max,Max Meyer,1162.7,1162.7,1156.457230227391,📉
"Assad, Javier",665871,2025,15.0,7.8,111,4,0,3.65,,359,12.1,32.7,426,44,54.0,16.5,67.3,92.2,2065.0,1.4,83.8,2257.0,85.2,1542.0,76.9,2389.0,92.2,1904.0,89.0,2062.0,,,80.9,2357.0,91.3,1977.0,Assad,Javier,Javier Assad,733.5,733.5,849.4863559081024,📈
"Soroka, Michael",647336,2025,25.1,7.7,269,3,0,4.52,,968,15.5,46.7,842,0,53.1,23.7,59.1,93.6,2534.0,,,,84.3,2209.0,,,93.2,2373.0,,,,,,,93.6,2506.0,Soroka,Michael,Michael Soroka,1224.8,1224.8,1055.7755478847625,📉
"Fairbanks, Pete",664126,2025,24.2,7.4,181,4,0,2.83,,660,15.9,55.5,545,394,55.2,26.1,61.1,97.3,2433.0,39.9,85.3,2534.0,94.2,1966.0,,,,,90.6,2457.0,,,,,96.8,2435.0,Fairbanks,Pete,Pete Fairbanks,1201.7,1201.7,1207.463830606692,📈
"Varland, Louis",686973,2025,25.3,7.4,218,4,0,2.97,,717,14.6,59.2,542,475,53.8,27.1,64.1,98.1,2167.0,7.1,91.5,2424.0,91.8,1742.0,88.0,2398.0,96.9,2092.0,,,,,,,98.0,2159.0,Varland,Louis,Louis Varland,1255.3,1255.3,1103.2738764596088,📉
"Jax, Griffin",643377,2025,35.0,7.4,198,1,0,4.23,,740,20.2,63.6,366,2,47.9,37.3,67.5,97.0,2475.0,,,,92.3,1787.0,86.7,3008.0,96.5,2451.0,93.4,2687.0,,,87.8,3099.0,96.4,2492.0,Jax,Griffin,Griffin Jax,1712.7,1712.7,1388.9931333634195,📉
"Soto, Gregory",642397,2025,25.1,8.6,181,1,0,4.18,,668,19.8,50.0,614,358,50.1,29.9,62.6,97.2,2265.0,34.7,86.1,2453.0,,,,,96.8,2312.0,,,89.1,1793.0,83.9,2577.0,96.9,2306.0,Soto,Gregory,Gregory Soto,1218.2,1218.2,1202.6238775727036,📉
"Rodón, Carlos",607074,2025,25.7,9.3,586,18,0,3.09,,2010,19.7,50.5,1658,1035,46.2,30.3,62.0,94.1,2347.0,28.4,85.9,2633.0,85.0,1650.0,80.3,2717.0,91.9,2256.0,92.4,2383.0,,,,,93.7,2330.0,Rodón,Carlos,Carlos Rodón,1344.1,1344.1,1090.3207004668652,📉
"Yesavage, Trey",702056,2025,25.8,11.3,42,1,0,3.21,,155,23.2,54.5,108,68,48.5,35.4,61.3,94.7,2281.0,28.5,88.7,2229.0,,,,,,,,,84.1,1535.0,,,94.7,2281.0,Yesavage,Trey,Trey Yesavage,1262.9,1262.9,1182.6174926980714,📉
"Gilbert, Logan",669302,2025,32.3,5.8,393,6,0,3.44,,1429,21.6,60.7,812,921,51.4,32.9,69.0,95.4,2116.0,35.3,87.5,1821.0,,,82.1,2183.0,94.9,2156.0,,,81.8,725.0,,,95.4,2117.0,Gilbert,Logan,Logan Gilbert,1610.5999999999997,1610.5999999999997,1402.4972396779303,📉
"Pfaadt, Brandon",694297,2025,19.2,4.8,530,13,0,5.25,,1902,14.0,40.7,1634,285,50.6,22.1,64.3,93.6,2569.0,,,,87.3,2114.0,82.0,2673.0,93.1,2425.0,89.8,2757.0,,,84.7,2843.0,92.8,2540.0,Pfaadt,Brandon,Brandon Pfaadt,972.5,972.5,977.0847930808385,📈
"Sproat, Brandon",687075,2025,20.2,8.3,62,0,0,4.79,,192,11.6,22.7,141,53,54.3,15.1,57.1,96.7,2054.0,3.4,89.5,2025.0,90.0,1646.0,79.9,2412.0,95.7,1934.0,,,,,84.5,2422.0,96.0,1968.0,Sproat,Brandon,Brandon Sproat,962.1,962.1,1045.3513395999785,📈
