Name,Pos,Team,Status
Carter Jensen,C,KC,active
TJ Rumfield,1B,COL,active
Nico Hoerner,2B,CHC,active
Junior Caminero,3B,TB,active
Zach Neto,SS,LAA,active
Jarren Duran,OF,BOS,active
Riley Greene,OF,DET,active
Daulton Varsho,OF,TOR,active
Bo Bichette,Util,NYM,active
Josh Naylor,Util,SEA,active
Michael Harris II,BN,ATL,active
Kyle Tucker,BN,LAD,DTD
Carlos Rodón,SP,NYY,active
Luis Castillo,SP,SEA,active
Pete Fairbanks,RP,MIA,active
Louis Varland,RP,TOR,active
Griffin Jax,P,TB,active
Logan Gilbert,P,SEA,active
Trey Yesavage,P,TOR,active
Gregory Soto,P,PIT,active
Max Meyer,BN,MIA,NA
Slade Cecconi,BN,CLE,active
Michael Soroka,IL,AZ,IL15
