Name,Ubicacion,Starts,Doble_Start,Favorabilidad,ERA,xERA,Ks,xwOBA,Oponentes
Kyle Bradish,⚔️ Rival,1,➡️ Simple,64.3,4.21,3.93,52,0.314,2026-05-19 vs Tampa Bay Rays (🟢 Fácil) wOBA:0.321
Trevor Rogers,⚔️ Rival,1,➡️ Simple,62.9,6.87,4.27,33,0.326,2026-05-18 vs Tampa Bay Rays (🟢 Fácil) wOBA:0.321
Shane Baz,🏟️ Mi Roster,1,➡️ Simple,60.4,5.26,4.91,42,0.347,2026-05-20 vs Tampa Bay Rays (🟢 Fácil) wOBA:0.321
Cam Schlittler,⚔️ Rival,1,➡️ Simple,56.8,1.35,2.58,68,0.257,2026-05-20 vs Toronto Blue Jays (🟢 Fácil) wOBA:0.303
Will Warren,⚔️ Rival,1,➡️ Simple,54.4,3.42,3.19,59,0.285,2026-05-19 vs Toronto Blue Jays (🟢 Fácil) wOBA:0.303
Ben Brown,🔓 Waiver,1,➡️ Simple,54.4,1.6,2.44,34,0.25,2026-05-19 vs Milwaukee Brewers (🟢 Fácil) wOBA:0.314
Ryne Nelson,⚔️ Rival,1,➡️ Simple,53.7,5.4,4.5,43,0.334,2026-05-19 vs San Francisco Giants (🟢 Fácil) wOBA:0.296
Spencer Strider,⚔️ Rival,1,➡️ Simple,52.6,2.45,2.9,18,0.272,2026-05-21 vs Miami Marlins (🟢 Fácil) wOBA:0.315
Chris Sale,⚔️ Rival,1,➡️ Simple,51.8,1.96,3.08,64,0.28,2026-05-20 vs Miami Marlins (🟢 Fácil) wOBA:0.315
Zac Gallen,⚔️ Rival,1,➡️ Simple,51.7,4.78,5.18,34,0.355,2026-05-18 vs San Francisco Giants (🟢 Fácil) wOBA:0.296
Merrill Kelly,🔓 Waiver,1,➡️ Simple,51.7,5.91,7.91,23,0.422,2026-05-20 vs San Francisco Giants (🟢 Fácil) wOBA:0.296
Ryan Weathers,⚔️ Rival,1,➡️ Simple,50.7,3.58,4.12,61,0.321,2026-05-18 vs Toronto Blue Jays (🟢 Fácil) wOBA:0.303
Shota Imanaga,⚔️ Rival,1,➡️ Simple,50.7,3.38,3.36,61,0.292,2026-05-18 vs Milwaukee Brewers (🟢 Fácil) wOBA:0.314
Tyler Alexander,🔓 Waiver,1,➡️ Simple,50.7,2.14,2.85,16,0.27,2026-05-19 vs Colorado Rockies (🟢 Fácil) wOBA:0.318
Landen Roupp,🔓 Waiver,1,➡️ Simple,50.7,3.49,2.75,58,0.265,2026-05-19 vs Arizona Diamondbacks (🟢 Fácil) wOBA:0.311
Casey Mize,🔓 Waiver,1,➡️ Simple,50.4,2.43,2.98,39,0.276,2026-05-21 vs Cleveland Guardians (🟢 Fácil) wOBA:0.318
