Name,Ubicacion,Starts,Doble_Start,Favorabilidad,ERA,xERA,Ks,xwOBA,Oponentes,Breakout_Score
Tyler Mahle,🔓 Waiver,2,⭐ DOBLE,50.5,5.87,5.33,29,0.359,2026-04-28 vs Philadelphia Phillies (🟢 Fácil) wOBA:0.300 | 2026-05-03 vs Tampa Bay Rays (🟢 Fácil) wOBA:0.318,50.5
Steven Matz,🔓 Waiver,2,⭐ DOBLE,48.4,4.31,4.83,27,0.344,2026-04-27 vs Cleveland Guardians (🟢 Fácil) wOBA:0.319 | 2026-05-03 vs San Francisco Giants (🟢 Fácil) wOBA:0.289,48.4
Connor Prielipp,🔓 Waiver,2,⭐ DOBLE,42.4,3.86,3.47,15,0.296,2026-04-27 vs Seattle Mariners (🟡 Normal) wOBA:0.317 | 2026-05-02 vs Toronto Blue Jays (🟢 Fácil) wOBA:0.312,42.4
Zack Littell,🔓 Waiver,2,⭐ DOBLE,42.3,7.85,8.28,16,0.429,2026-04-28 vs New York Mets (🟢 Fácil) wOBA:0.284 | 2026-05-03 vs Milwaukee Brewers (🟢 Fácil) wOBA:0.316,42.3
Aaron Civale,🔓 Waiver,2,⭐ DOBLE,38.0,3.23,4.58,24,0.336,2026-04-28 vs Kansas City Royals (🟡 Normal) wOBA:0.317 | 2026-05-03 vs Cleveland Guardians (🟢 Fácil) wOBA:0.319,38.0
Peter Lambert,🔓 Waiver,2,⭐ DOBLE,37.1,3.52,2.99,19,0.276,2026-04-29 vs Baltimore Orioles (🟡 Normal) wOBA:0.318 | 2026-04-30 vs Baltimore Orioles (🟡 Normal) wOBA:0.318,37.1
Jack Kochanowicz,🔓 Waiver,2,⭐ DOBLE,35.5,3.09,4.64,24,0.338,2026-04-27 vs Chicago White Sox (🟡 Normal) wOBA:0.315 | 2026-05-03 vs New York Mets (🟢 Fácil) wOBA:0.284,35.5
Merrill Kelly,🔓 Waiver,2,⭐ DOBLE,34.6,9.2,14.87,9,0.526,2026-04-28 vs Milwaukee Brewers (🟢 Fácil) wOBA:0.316 | 2026-05-03 vs Chicago Cubs (🟡 Normal) wOBA:0.346,34.6
Chris Paddack,🔓 Waiver,2,⭐ DOBLE,30.1,6.11,3.78,26,0.308,2026-04-27 vs Los Angeles Dodgers (🔴 Difícil) wOBA:0.349 | 2026-05-03 vs Philadelphia Phillies (🟢 Fácil) wOBA:0.300,30.1
Chris Bassitt,🔓 Waiver,2,⭐ DOBLE,25.3,5.46,5.19,17,0.355,2026-04-29 vs Houston Astros (🟡 Normal) wOBA:0.349 | 2026-04-30 vs Houston Astros (🟡 Normal) wOBA:0.349,25.3
Kyle Freeland,🔓 Waiver,2,⭐ DOBLE,19.2,3.48,4.13,17,0.321,2026-04-28 vs Cincinnati Reds (🔴 Difícil) wOBA:0.312 | 2026-05-03 vs Atlanta Braves (🔴 Difícil) wOBA:0.350,19.2
Landen Roupp,🔓 Waiver,1,➡️ Simple,69.4,3.18,2.65,43,0.26,2026-05-02 vs Tampa Bay Rays (🟢 Fácil) wOBA:0.318,69.4
Tim Mayza,🔓 Waiver,1,➡️ Simple,59.7,3.5,2.88,18,0.271,2026-04-30 vs San Francisco Giants (🟢 Fácil) wOBA:0.289,59.7
Payton Tolle,🔓 Waiver,1,➡️ Simple,57.3,3.38,1.81,15,0.214,2026-04-28 vs Toronto Blue Jays (🟢 Fácil) wOBA:0.312,57.3
Shohei Ohtani,🔓 Waiver,1,➡️ Simple,53.1,0.6,2.24,34,0.239,2026-04-28 vs Miami Marlins (🟢 Fácil) wOBA:0.322,53.1
Jacob Lopez,🔓 Waiver,1,➡️ Simple,50.2,6.6,3.47,23,0.296,2026-05-02 vs Cleveland Guardians (🟢 Fácil) wOBA:0.319,50.2
Bailey Ober,🔓 Waiver,1,➡️ Simple,49.2,3.55,3.83,29,0.31,2026-04-30 vs Toronto Blue Jays (🟢 Fácil) wOBA:0.312,49.2
J.T. Ginn,🔓 Waiver,1,➡️ Simple,49.0,4.3,3.78,23,0.308,2026-05-01 vs Cleveland Guardians (🟢 Fácil) wOBA:0.319,49.0
Nick Martinez,🔓 Waiver,1,➡️ Simple,48.7,1.7,3.86,24,0.311,2026-04-28 vs Cleveland Guardians (🟢 Fácil) wOBA:0.319,48.7
Foster Griffin,🔓 Waiver,1,➡️ Simple,47.1,2.27,4.43,33,0.331,2026-05-02 vs Milwaukee Brewers (🟢 Fácil) wOBA:0.316,47.1
Walbert Ureña,🔓 Waiver,1,➡️ Simple,46.0,3.86,3.44,17,0.295,2026-05-01 vs New York Mets (🟢 Fácil) wOBA:0.284,46.0
Chad Patrick,🔓 Waiver,1,➡️ Simple,45.7,2.57,4.25,16,0.325,2026-04-28 vs Arizona Diamondbacks (🟢 Fácil) wOBA:0.317,45.7
Jake Irvin,🔓 Waiver,1,➡️ Simple,45.5,4.93,4.83,39,0.344,2026-05-01 vs Milwaukee Brewers (🟢 Fácil) wOBA:0.316,45.5
Colin Rea,🔓 Waiver,1,➡️ Simple,44.9,4.41,4.43,30,0.331,2026-05-01 vs Arizona Diamondbacks (🟢 Fácil) wOBA:0.317,44.9
Eduardo Rodriguez,🔓 Waiver,1,➡️ Simple,44.8,3.03,5.06,22,0.351,2026-04-29 vs Milwaukee Brewers (🟢 Fácil) wOBA:0.316,44.8
Simeon Woods Richardson,🔓 Waiver,1,➡️ Simple,44.5,6.49,5.23,17,0.356,2026-05-01 vs Toronto Blue Jays (🟢 Fácil) wOBA:0.312,44.5
Kyle Harrison,🔓 Waiver,1,➡️ Simple,41.4,2.12,3.37,35,0.292,2026-05-02 vs Washington Nationals (🟡 Normal) wOBA:0.316,41.4
Brandon Williamson,🔓 Waiver,1,➡️ Simple,41.3,6.11,6.54,19,0.391,2026-04-29 vs Colorado Rockies (🟢 Fácil) wOBA:0.321,41.3
Adrian Houser,🔓 Waiver,1,➡️ Simple,41.0,7.12,5.99,16,0.377,2026-04-30 vs Philadelphia Phillies (🟢 Fácil) wOBA:0.300,41.0
Cody Bolton,🔓 Waiver,1,➡️ Simple,40.3,5.79,4.61,11,0.337,2026-05-03 vs Boston Red Sox (🟡 Normal) wOBA:0.302,40.3
Miles Mikolas,🔓 Waiver,1,➡️ Simple,39.8,8.23,5.23,19,0.356,2026-04-30 vs New York Mets (🟢 Fácil) wOBA:0.284,39.8
Spencer Arrighetti,🔓 Waiver,1,➡️ Simple,38.8,1.96,5.76,25,0.371,2026-05-02 vs Boston Red Sox (🟡 Normal) wOBA:0.302,38.8
Kai-Wei Teng,🔓 Waiver,1,➡️ Simple,36.2,2.57,3.22,20,0.286,2026-04-28 vs Baltimore Orioles (🟡 Normal) wOBA:0.318,36.2
Noah Schultz,🔓 Waiver,1,➡️ Simple,35.8,2.53,3.39,20,0.293,2026-05-01 vs San Diego Padres (🟡 Normal) wOBA:0.305,35.8
Sean Burke,🔓 Waiver,1,➡️ Simple,35.8,2.72,3.39,32,0.293,2026-05-02 vs San Diego Padres (🟡 Normal) wOBA:0.305,35.8
Erick Fedde,🔓 Waiver,1,➡️ Simple,34.7,3.24,3.34,22,0.291,2026-04-29 vs Los Angeles Angels (🟡 Normal) wOBA:0.324,34.7
Andre Pallante,🔓 Waiver,1,➡️ Simple,32.0,3.73,4.43,26,0.331,2026-04-29 vs Pittsburgh Pirates (🟡 Normal) wOBA:0.332,32.0
Taj Bradley,🔓 Waiver,1,➡️ Simple,31.9,2.85,4.05,44,0.318,2026-04-29 vs Seattle Mariners (🟡 Normal) wOBA:0.317,31.9
Elmer Rodríguez,🔓 Waiver,1,➡️ Simple,31.7,4.5,6.26,3,0.384,2026-04-29 vs Texas Rangers (🟡 Normal) wOBA:0.311,31.7
Tyler Holton,🔓 Waiver,1,➡️ Simple,31.7,5.54,6.3,9,0.385,2026-05-03 vs Texas Rangers (🟡 Normal) wOBA:0.311,31.7
Patrick Corbin,🔓 Waiver,1,➡️ Simple,30.4,3.65,5.73,20,0.37,2026-05-01 vs Minnesota Twins (🟡 Normal) wOBA:0.319,30.4
Davis Martin,🔓 Waiver,1,➡️ Simple,29.9,1.95,4.55,33,0.335,2026-04-28 vs Los Angeles Angels (🟡 Normal) wOBA:0.324,29.9
Kyle Leahy,🔓 Waiver,1,➡️ Simple,29.8,5.52,6.03,22,0.378,2026-04-28 vs Pittsburgh Pirates (🟡 Normal) wOBA:0.332,29.8
Hunter Dobbins,🔓 Waiver,1,➡️ Simple,29.8,6.23,5.23,4,0.356,2026-04-30 vs Pittsburgh Pirates (🟡 Normal) wOBA:0.332,29.8
Mason Montgomery,🔓 Waiver,1,➡️ Simple,29.5,3.38,3.44,22,0.295,2026-04-27 vs St. Louis Cardinals (🟡 Normal) wOBA:0.327,29.5
Griffin Canning,🔓 Waiver,1,➡️ Simple,29.5,3.77,4.7,70,0.334,2026-05-03 vs Chicago White Sox (🟡 Normal) wOBA:0.315,29.5
Yusei Kikuchi,🔓 Waiver,1,➡️ Simple,29.4,5.81,4.73,33,0.341,2026-04-29 vs Chicago White Sox (🟡 Normal) wOBA:0.315,29.4
Christian Scott,🔓 Waiver,1,➡️ Simple,29.2,4.26,4.73,9,0.341,2026-05-01 vs Los Angeles Angels (🟡 Normal) wOBA:0.324,29.2
Germán Márquez,🔓 Waiver,1,➡️ Simple,28.3,5.76,5.65,19,0.368,2026-05-01 vs Chicago White Sox (🟡 Normal) wOBA:0.315,28.3
Justin Wrobleski,🔓 Waiver,1,➡️ Simple,28.3,1.5,3.75,15,0.307,2026-05-03 vs St. Louis Cardinals (🟡 Normal) wOBA:0.327,28.3
Bryce Elder,🔓 Waiver,1,➡️ Simple,27.2,1.88,2.99,36,0.276,2026-04-30 vs Detroit Tigers (🔴 Difícil) wOBA:0.332,27.2
Noah Cameron,🔓 Waiver,1,➡️ Simple,26.3,5.4,6.34,28,0.386,2026-04-30 vs Athletics (🟡 Normal) wOBA:0.323,26.3
Slade Cecconi,🔓 Waiver,1,➡️ Simple,26.3,6.56,5.65,28,0.368,2026-05-02 vs Athletics (🟡 Normal) wOBA:0.323,26.3
Matt Waldron,🔓 Waiver,1,➡️ Simple,25.8,9.88,4.64,8,0.338,2026-04-29 vs Chicago Cubs (🟡 Normal) wOBA:0.346,25.8
Brandon Young,🔓 Waiver,1,➡️ Simple,25.3,6.14,5.8,9,0.372,2026-04-30 vs Houston Astros (🟡 Normal) wOBA:0.349,25.3
Jake Bennett,🔓 Waiver,1,➡️ Simple,25.3,1.8,10.31,3,0.465,2026-05-01 vs Houston Astros (🟡 Normal) wOBA:0.349,25.3
Walker Buehler,🔓 Waiver,1,➡️ Simple,24.8,5.4,4.89,24,0.346,2026-04-28 vs Chicago Cubs (🟡 Normal) wOBA:0.346,24.8
Randy Vásquez,🔓 Waiver,1,➡️ Simple,24.4,2.94,5.06,34,0.351,2026-04-27 vs Chicago Cubs (🟡 Normal) wOBA:0.346,24.4
Mitch Keller,🔓 Waiver,1,➡️ Simple,22.6,2.85,3.78,31,0.308,2026-05-01 vs Cincinnati Reds (🔴 Difícil) wOBA:0.312,22.6
Martín Pérez,🔓 Waiver,1,➡️ Simple,21.2,2.22,4.49,19,0.333,2026-04-28 vs Detroit Tigers (🔴 Difícil) wOBA:0.332,21.2
Brennan Bernardino,🔓 Waiver,1,➡️ Simple,21.2,2.03,3.11,12,0.281,2026-05-02 vs Atlanta Braves (🔴 Difícil) wOBA:0.350,21.2
