"last_name, first_name",player_id,year,pa,ab,hit,home_run,r_total_stolen_base,walk,strikeout,batting_avg,on_base_percent,slg_percent,on_base_plus_slg,isolated_power,babip,xba,xslg,woba,xwoba,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,r_run,b_rbi,last_name,first_name,Name,score
"Caminero, Junior",691406,2025,653,602,159,35.4,7,41,125,0.264,0.311,0.535,0.851,0.271,0.259,0.255,0.501,0.363,0.356,92.28,10.7,13.73,93,110,Caminero,Junior,Junior Caminero,100.0
"Greene, Riley",682985,2025,655,600,155,26.4,2,46,201,0.258,0.313,0.493,0.841,0.235,0.367,0.239,0.494,0.364,0.351,90.2,15.0,15.99,84,111,Greene,Riley,Riley Greene,89.0
"Neto, Zach",687263,2025,554,502,129,20.6,26,33,149,0.257,0.319,0.474,0.781,0.217,0.31,0.251,0.495,0.337,0.339,90.7,17.5,13.22,82,62,Neto,Zach,Zach Neto,62.6
"Machado, Manny",592518,2025,678,615,169,21.0,14,55,131,0.275,0.335,0.46,0.741,0.185,0.273,0.271,0.495,0.322,0.342,92.12,14.3,10.92,91,95,Machado,Manny,Manny Machado,52.3
"Perez, Salvador",521692,2025,641,597,141,23.1,0,28,125,0.236,0.284,0.446,0.689,0.21,0.24,0.269,0.534,0.296,0.334,89.52,18.1,12.91,54,100,Perez,Salvador,Salvador Perez,51.5
"Tucker, Kyle",663656,2025,597,500,133,16.6,25,87,88,0.266,0.377,0.464,0.811,0.198,0.286,0.27,0.483,0.354,0.36,89.77,17.2,9.33,91,73,Tucker,Kyle,Kyle Tucker,50.7
"Harris II, Michael",671739,2025,641,611,152,16.7,20,16,128,0.249,0.268,0.409,0.718,0.16,0.291,0.268,0.438,0.309,0.34,91.52,7.4,11.41,55,86,Harris II,Michael,Michael Harris II,42.5
"Bichette, Bo",666182,2025,628,582,181,14.1,4,40,91,0.311,0.357,0.483,0.771,0.172,0.313,0.295,0.473,0.335,0.347,90.97,8.2,7.54,78,94,Bichette,Bo,Bo Bichette,35.7
"Naylor, Josh",647304,2025,604,543,160,15.5,30,48,83,0.295,0.353,0.462,0.777,0.167,0.305,0.271,0.436,0.339,0.338,88.84,11.6,6.64,81,92,Naylor,Josh,Josh Naylor,34.8
"Duran, Jarren",680776,2025,696,620,159,12.7,24,60,169,0.256,0.332,0.442,0.72,0.186,0.298,0.248,0.41,0.315,0.318,91.29,12.0,9.82,86,84,Duran,Jarren,Jarren Duran,30.9
"Martínez, Angel",682657,2025,484,446,100,10.4,8,23,110,0.224,0.269,0.359,0.681,0.135,0.274,0.215,0.313,0.297,0.276,87.55,18.4,5.39,56,45,Martínez,Angel,Angel Martínez,4.9
"Hoerner, Nico",663538,2025,649,599,178,6.1,29,39,49,0.297,0.345,0.394,0.739,0.097,0.3,0.292,0.391,0.327,0.327,86.34,12.5,2.19,89,61,Hoerner,Nico,Nico Hoerner,0.0
