"last_name, first_name",player_id,year,p_game,p_formatted_ip,p_win,p_loss,p_strikeout,p_walk,hit,p_era,p_save,xera,xba,xslg,xwoba,exit_velocity_avg,barrel_batted_rate,p_whip,last_name,first_name,Name,score
"Fairbanks, Pete",664126,2025,61,60.1,4,5,40.8,18,45,5.637,27,3.979,0.219,0.338,0.309,91.39,11.45,1.048,Fairbanks,Pete,Pete Fairbanks,100.0
"Rodón, Carlos",607074,2025,33,195.1,18,9,97.3,73,132,3.237,0,3.54,0.206,0.351,0.293,89.51,5.92,1.051,Rodón,Carlos,Carlos Rodón,61.1
"Varland, Louis",686973,2025,74,72.2,4,3,67.3,22,65,1.577,0,2.592,0.25,0.395,0.247,87.96,4.79,1.205,Varland,Louis,Louis Varland,39.3
"Gilbert, Logan",669302,2025,25,131.0,6,6,126.8,31,104,3.426,0,3.622,0.206,0.367,0.296,90.66,10.07,1.031,Gilbert,Logan,Logan Gilbert,35.1
"Meyer, Max",676974,2025,12,64.2,3,5,98.8,20,72,3.19,0,4.079,0.263,0.453,0.312,90.08,8.78,1.433,Meyer,Max,Max Meyer,24.3
"Cecconi, Slade",677944,2025,23,132.0,7,7,83.8,32,125,4.398,0,4.633,0.267,0.489,0.332,89.18,9.4,1.189,Cecconi,Slade,Slade Cecconi,22.6
"Soroka, Michael",647336,2025,22,89.2,3,8,83.8,29,72,3.505,0,3.831,0.21,0.351,0.304,88.15,8.03,1.132,Soroka,Michael,Michael Soroka,22.0
"Kelly, Merrill",518876,2025,32,184.0,12,9,83.0,48,157,5.144,0,6.547,0.25,0.431,0.38,90.06,12.59,1.114,Kelly,Merrill,Merrill Kelly,21.9
"Yesavage, Trey",702056,2025,3,14.0,1,0,47.5,7,13,3.301,0,3.456,0.251,0.369,0.29,90.36,6.16,1.429,Yesavage,Trey,Trey Yesavage,15.7
"Soto, Gregory",642397,2025,70,60.1,1,5,50.4,24,62,4.229,1,3.402,0.238,0.343,0.288,86.66,5.19,1.431,Soto,Gregory,Gregory Soto,14.8
"Jax, Griffin",643377,2025,73,66.0,1,7,70.3,21,64,3.684,0,4.737,0.228,0.359,0.332,88.99,10.31,1.288,Jax,Griffin,Griffin Jax,10.9
"Sproat, Brandon",687075,2025,4,20.2,0,2,61.1,7,18,5.133,0,4.487,0.263,0.364,0.327,89.58,7.67,1.238,Sproat,Brandon,Brandon Sproat,0.0
