Name,Fuente,wOBA 2025,wOBA 2026,xwOBA 2026,EV,Barrel%,Diff,Streak,Comparativo,wOBA 2024,xwOBA 2025
Tristan Peters,Waiver,0.0,0.178,0.222,86.8,0.0,0.178,🔥 HOT,2025 vs 2026,,
Drew Romo,Waiver,0.0,0.147,0.141,,,0.147,🔥 HOT,2025 vs 2026,,
Luis Campusano,Waiver,0.154,0.282,0.274,87.8,0.0,0.128,🔥 HOT,2025 vs 2026,,
Ryan Vilade,Waiver,0.151,0.261,0.305,96.6,12.5,0.11,🔥 HOT,2025 vs 2026,,
Jose Siri,Waiver,0.146,0.248,0.244,84.9,20.0,0.102,🔥 HOT,2025 vs 2026,,
Justin Foscue,Waiver,0.139,0.239,0.283,93.0,0.0,0.1,🔥 HOT,2025 vs 2026,,
Ryan Kreidler,Waiver,0.15,0.241,0.276,89.6,4.8,0.091,🔥 HOT,2025 vs 2026,,
MJ Melendez,Waiver,0.151,0.231,0.239,90.9,8.1,0.08,🔥 HOT,2025 vs 2026,,
Donovan Walton,Waiver,0.11,0.189,0.283,92.6,0.0,0.079,🔥 HOT,2025 vs 2026,,
Jorge Mateo,Waiver,0.214,0.285,0.279,85.3,4.1,0.071,🔥 HOT,2025 vs 2026,,
Dalton Rushing,Waiver,0.256,0.327,0.323,90.8,14.0,0.071,🔥 HOT,2025 vs 2026,,
Endy Rodríguez,Waiver,0.226,0.288,0.297,92.2,2.6,0.062,🔥 HOT,2025 vs 2026,,
Everson Pereira,Waiver,0.212,0.273,0.277,90.5,7.9,0.061,🔥 HOT,2025 vs 2026,,
Oswald Peraza,Waiver,0.214,0.275,0.285,87.1,6.7,0.061,🔥 HOT,2025 vs 2026,,
Garrett Stubbs,Waiver,0.0,0.058,0.098,67.5,0.0,0.058,🔥 HOT,2025 vs 2026,,
Andrew Vaughn,Waiver,0.311,0.365,0.344,91.6,12.0,0.054,🔥 HOT,2025 vs 2026,,
Leo Jiménez,Waiver,0.139,0.191,0.289,92.0,9.1,0.052,🔥 HOT,2025 vs 2026,,
Nicky Lopez,Waiver,0.13,0.179,0.231,84.8,0.0,0.049,🔥 HOT,2025 vs 2026,,
Samad Taylor,Waiver,0.11,0.158,0.205,75.7,0.0,0.048,🔥 HOT,2025 vs 2026,,
Connor Wong,Waiver,0.23,0.276,0.275,85.5,3.1,0.046,🔥 HOT,2025 vs 2026,,
Michael Harris II,Mi Roster,0.289,0.334,0.352,90.2,9.1,0.045,🔥 HOT,2025 vs 2026,,
Leody Taveras,Waiver,0.23,0.275,0.271,88.5,6.4,0.045,🔥 HOT,2025 vs 2026,,
Hunter Feduccia,Waiver,0.226,0.27,0.292,87.6,8.2,0.044,🔥 HOT,2025 vs 2026,,
David Fry,Waiver,0.258,0.302,0.243,88.7,9.1,0.044,🔥 HOT,2025 vs 2026,,
Max Schuemann,Waiver,0.262,0.305,0.312,87.3,2.6,0.043,🔥 HOT,2025 vs 2026,,
Esteury Ruiz,Waiver,0.264,0.306,0.265,81.5,7.7,0.042,🔥 HOT,2025 vs 2026,,
Curtis Mead,Waiver,0.278,0.319,0.33,87.5,4.5,0.041,🔥 HOT,2025 vs 2026,,
Michael Conforto,Waiver,0.287,0.326,0.35,89.9,9.7,0.039,🔥 HOT,2025 vs 2026,,
Aramis Garcia,Waiver,0.0,0.039,0.091,91.3,0.0,0.039,🔥 HOT,2025 vs 2026,,
Orlando Arcia,Waiver,0.233,0.272,0.254,87.4,2.6,0.039,🔥 HOT,2025 vs 2026,,
Garrett Mitchell,Waiver,0.261,0.3,0.308,90.4,6.7,0.039,🔥 HOT,2025 vs 2026,,
Ryan Jeffers,Waiver,0.333,0.371,0.357,89.3,6.3,0.038,🔥 HOT,2025 vs 2026,,
Jorge Barrosa,Waiver,0.171,0.209,0.199,87.8,0.0,0.038,🔥 HOT,2025 vs 2026,,
Nathan Church,Waiver,0.232,0.27,0.272,89.0,2.4,0.038,🔥 HOT,2025 vs 2026,,
Lane Thomas,Waiver,0.235,0.272,0.276,87.8,4.8,0.037,🔥 HOT,2025 vs 2026,,
Mickey Gasper,Waiver,0.229,0.266,0.257,87.8,1.3,0.037,🔥 HOT,2025 vs 2026,,
Randal Grichuk,Waiver,0.289,0.325,0.355,92.4,11.7,0.036,🔥 HOT,2025 vs 2026,,
Brandon Lockridge,Waiver,0.254,0.289,0.272,87.1,2.9,0.035,🔥 HOT,2025 vs 2026,,
Dane Myers,Waiver,0.275,0.31,0.339,90.7,7.8,0.035,🔥 HOT,2025 vs 2026,,
Luke Raley,Waiver,0.291,0.326,0.341,89.5,10.6,0.035,🔥 HOT,2025 vs 2026,,
Eric Haase,Waiver,0.286,0.321,0.302,83.0,10.0,0.035,🔥 HOT,2025 vs 2026,,
Jonah Heim,Waiver,0.266,0.3,0.283,88.1,6.1,0.034,🔥 HOT,2025 vs 2026,,
Joc Pederson,Waiver,0.276,0.31,0.331,91.2,9.5,0.034,🔥 HOT,2025 vs 2026,,
Michael Massey,Waiver,0.254,0.286,0.273,87.5,4.0,0.032,🔥 HOT,2025 vs 2026,,
Jared Young,Waiver,0.301,0.332,0.338,84.6,14.3,0.031,🔥 HOT,2025 vs 2026,,
Nathaniel Lowe,Waiver,0.301,0.332,0.339,89.0,7.0,0.031,🔥 HOT,2025 vs 2026,,
LaMonte Wade Jr.,Waiver,0.241,0.272,0.283,89.7,4.5,0.031,🔥 HOT,2025 vs 2026,,
Sebastián Rivero,Waiver,0.198,0.229,0.235,86.9,8.3,0.031,🔥 HOT,2025 vs 2026,,
Austin Hedges,Waiver,0.239,0.269,0.265,88.2,3.4,0.03,🔥 HOT,2025 vs 2026,,
Blake Dunn,Waiver,0.272,0.302,0.288,88.6,8.6,0.03,🔥 HOT,2025 vs 2026,,
Andrés Chaparro,Waiver,0.228,0.255,0.295,86.0,11.1,0.027,🔥 HOT,2025 vs 2026,,
Tyler Callihan,Waiver,0.147,0.174,0.211,89.8,0.0,0.027,🔥 HOT,2025 vs 2026,,
Gary Sánchez,Waiver,0.311,0.334,0.338,93.3,10.9,0.023,🔥 HOT,2025 vs 2026,,
Christian Vázquez,Waiver,0.248,0.271,0.256,85.9,3.8,0.023,🔥 HOT,2025 vs 2026,,
Jhonny Pereda,Waiver,0.295,0.317,0.313,89.1,4.1,0.022,🔥 HOT,2025 vs 2026,,
Jorbit Vivas,Waiver,0.242,0.264,0.295,85.9,4.7,0.022,🔥 HOT,2025 vs 2026,,
Jesús Sánchez,Waiver,0.304,0.326,0.338,91.3,11.1,0.022,🔥 HOT,2025 vs 2026,,
Owen Caissie,Waiver,0.245,0.266,0.257,87.3,13.3,0.021,🔥 HOT,2025 vs 2026,,
Kyle Karros,Waiver,0.268,0.289,0.297,87.9,1.0,0.021,🔥 HOT,2025 vs 2026,,
Ben Williamson,Waiver,0.269,0.289,0.285,88.3,3.3,0.02,➡️ NEUTRAL,2025 vs 2026,,
Alex Freeland,Waiver,0.273,0.293,0.281,90.7,8.0,0.02,➡️ NEUTRAL,2025 vs 2026,,
Nick Gonzales,Waiver,0.289,0.309,0.314,88.8,4.5,0.02,➡️ NEUTRAL,2025 vs 2026,,
Jacob Young,Waiver,0.264,0.284,0.305,87.6,1.9,0.02,➡️ NEUTRAL,2025 vs 2026,,
Ty France,Waiver,0.302,0.322,0.326,89.5,7.7,0.02,➡️ NEUTRAL,2025 vs 2026,,
Brendan Donovan,Waiver,0.337,0.356,0.345,89.7,8.8,0.019,➡️ NEUTRAL,2025 vs 2026,,
Riley Greene,Mi Roster,0.343,0.362,0.35,89.9,17.1,0.019,➡️ NEUTRAL,2025 vs 2026,,
Elias Díaz,Waiver,0.269,0.288,0.269,88.4,7.6,0.019,➡️ NEUTRAL,2025 vs 2026,,
David Hamilton,Waiver,0.26,0.279,0.271,86.6,6.0,0.019,➡️ NEUTRAL,2025 vs 2026,,
Colby Thomas,Waiver,0.291,0.31,0.304,92.2,13.3,0.019,➡️ NEUTRAL,2025 vs 2026,,
Nick Loftin,Waiver,0.279,0.297,0.303,88.2,6.3,0.018,➡️ NEUTRAL,2025 vs 2026,,
Ildemaro Vargas,Waiver,0.292,0.309,0.3,89.2,3.9,0.017,➡️ NEUTRAL,2025 vs 2026,,
Angel Martínez,Waiver,0.274,0.291,0.277,87.1,3.5,0.017,➡️ NEUTRAL,2025 vs 2026,,
Chase Meidroth,Waiver,0.294,0.311,0.296,88.2,1.6,0.017,➡️ NEUTRAL,2025 vs 2026,,
Taylor Trammell,Waiver,0.282,0.299,0.263,91.0,7.8,0.017,➡️ NEUTRAL,2025 vs 2026,,
Ceddanne Rafaela,Waiver,0.307,0.323,0.301,88.3,9.2,0.016,➡️ NEUTRAL,2025 vs 2026,,
Nick Allen,Waiver,0.245,0.261,0.25,84.8,0.0,0.016,➡️ NEUTRAL,2025 vs 2026,,
Will Wilson,Waiver,0.236,0.25,0.233,87.6,2.0,0.014,➡️ NEUTRAL,2025 vs 2026,,
Brooks Lee,Waiver,0.286,0.3,0.281,88.6,5.8,0.014,➡️ NEUTRAL,2025 vs 2026,,
Drew Gilbert,Waiver,0.26,0.274,0.263,86.6,4.9,0.014,➡️ NEUTRAL,2025 vs 2026,,
Derek Hill,Waiver,0.272,0.285,0.304,91.2,11.2,0.013,➡️ NEUTRAL,2025 vs 2026,,
Nick Sogard,Waiver,0.295,0.308,0.302,86.0,5.6,0.013,➡️ NEUTRAL,2025 vs 2026,,
Carlos Cortes,Waiver,0.363,0.376,0.345,89.8,9.2,0.013,➡️ NEUTRAL,2025 vs 2026,,
Troy Johnston,Waiver,0.328,0.341,0.333,89.6,9.4,0.013,➡️ NEUTRAL,2025 vs 2026,,
Cole Young,Waiver,0.274,0.287,0.312,87.6,5.6,0.013,➡️ NEUTRAL,2025 vs 2026,,
Max Muncy,Waiver,0.277,0.289,0.279,87.1,10.1,0.012,➡️ NEUTRAL,2025 vs 2026,,
Junior Caminero,Mi Roster,0.357,0.369,0.358,92.4,14.0,0.012,➡️ NEUTRAL,2025 vs 2026,,
Isiah Kiner-Falefa,Waiver,0.279,0.291,0.287,84.6,1.4,0.012,➡️ NEUTRAL,2025 vs 2026,,
