"last_name, first_name",player_id,year,pa,ab,hit,home_run,r_total_stolen_base,walk,strikeout,batting_avg,on_base_percent,slg_percent,on_base_plus_slg,isolated_power,babip,xba,xslg,woba,xwoba,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,r_run,b_rbi,data_year,last_name,first_name,Name,Name_norm,diff_xwoba,breakout_score,diff_babip
"Stanton, Giancarlo",519317,2025,281,249,68,24,0,29,96,0.273,0.35,0.594,0.944,0.321,0.342,0.24,0.493,0.356,0.34,94.25,17.5,20.05,36,66,2025,Stanton,Giancarlo,Giancarlo Stanton,giancarlostanton,-0.01599999999999996,56.02,-0.04200000000000004
"Kelenic, Jarred",672284,2025,65,60,10,2,0,5,23,0.167,0.231,0.3,0.531,0.133,0.286,0.212,0.432,0.256,0.309,91.45,16.0,17.85,7,2,2025,Kelenic,Jarred,Jarred Kelenic,jarredkelenic,0.05299999999999999,53.720000000000006,0.014000000000000012
"Tellez, Rowdy",642133,2025,312,289,66,17,1,17,83,0.228,0.276,0.443,0.719,0.215,0.246,0.245,0.514,0.306,0.344,91.26,14.8,16.63,34,49,2025,Tellez,Rowdy,Rowdy Tellez,rowdytellez,0.03799999999999998,52.400000000000006,0.05399999999999999
"Grichuk, Randal",545341,2025,293,272,62,9,0,17,61,0.228,0.273,0.401,0.674,0.173,0.27,0.284,0.518,0.332,0.359,91.7,17.6,13.6,35,27,2025,Grichuk,Randal,Randal Grichuk,randalgrichuk,0.02699999999999997,45.44,0.02999999999999997
"Davis, Henry",680779,2025,283,252,42,7,2,18,76,0.167,0.234,0.278,0.512,0.111,0.172,0.209,0.38,0.24,0.297,89.6,23.3,11.8,25,22,2025,Davis,Henry,Henry Davis,henrydavis,0.056999999999999995,43.69999999999998,0.128
"Grisham, Trent",663757,2025,581,494,116,34,3,82,137,0.235,0.348,0.464,0.812,0.229,0.252,0.253,0.477,0.342,0.365,90.9,16.4,13.1,87,74,2025,Grisham,Trent,Trent Grisham,trentgrisham,0.022999999999999965,43.54000000000001,0.04799999999999999
"Young, Jared",676724,2026,110,99,24,6,0,9,24,0.242,0.309,0.465,0.774,0.223,0.257,0.249,0.464,0.335,0.347,90.2,8.9,14.5,13,13,2026,Young,Jared,Jared Young,jaredyoung,0.011999999999999955,43.45,0.04299999999999998
"Clemens, Kody",665019,2025,386,348,74,19,5,29,93,0.213,0.281,0.434,0.715,0.221,0.25,0.25,0.46,0.322,0.334,91.95,16.7,12.4,46,52,2025,Clemens,Kody,Kody Clemens,kodyclemens,0.01200000000000001,42.84,0.04999999999999999
"Alvarez, Francisco",682626,2025,277,246,63,11,0,27,73,0.256,0.339,0.447,0.786,0.191,0.312,0.243,0.462,0.338,0.338,91.8,9.6,14.4,32,32,2025,Alvarez,Francisco,Francisco Alvarez,franciscoalvarez,0.0,42.55999999999999,-0.01200000000000001
"Adell, Jo",666176,2025,573,526,124,37,5,33,151,0.236,0.293,0.485,0.778,0.249,0.276,0.259,0.491,0.316,0.342,90.9,16.1,12.95,63,98,2025,Adell,Jo,Jo Adell,joadell,0.026000000000000023,41.82000000000001,0.023999999999999966
"Conine, Griffin",665052,2025,86,79,20,2,0,7,25,0.253,0.314,0.418,0.732,0.165,0.321,0.256,0.451,0.325,0.339,89.588,8.0,15.866,13,8,2025,Conine,Griffin,Griffin Conine,griffinconine,0.014000000000000012,41.75799999999998,-0.02100000000000002
