yahoo_name,yahoo_norm,position,status,ownership
Craig Kimbrel,craigkimbrel,RP,active,freeagent
Giancarlo Stanton,giancarlostanton,OF,IL10,freeagent
Jose Altuve,josealtuve,"2B,OF",active,freeagent
Salvador Perez,salvadorperez,"C,1B",DTD,freeagent
Drew Pomeranz,drewpomeranz,"SP,RP",active,freeagent
Gary Sánchez,garysanchez,C,active,freeagent
Nolan Arenado,nolanarenado,3B,active,freeagent
Starling Marte,starlingmarte,OF,active,freeagent
Patrick Corbin,patrickcorbin,SP,active,freeagent
Miles Mikolas,milesmikolas,"SP,RP",active,freeagent
Brooks Raley,brooksraley,RP,active,freeagent
Xander Bogaerts,xanderbogaerts,SS,active,freeagent
Austin Hedges,austinhedges,C,active,freeagent
Marcell Ozuna,marcellozuna,Util,active,freeagent
Caleb Thielbar,calebthielbar,RP,active,freeagent
Marcus Semien,marcussemien,2B,IL10,freeagent
Pierce Johnson,piercejohnson,RP,active,freeagent
Sean Manaea,seanmanaea,"SP,RP",active,freeagent
Dominic Smith,dominicsmith,1B,active,freeagent
Randal Grichuk,randalgrichuk,OF,active,freeagent
J.T. Realmuto,jtrealmuto,C,active,freeagent
Eugenio Suárez,eugeniosuarez,3B,active,freeagent
Miguel Rojas,miguelrojas,"2B,3B,SS",active,freeagent
Kirby Yates,kirbyyates,RP,active,freeagent
Enrique Hernández,enriquehernandez,"1B,2B,3B,OF",IL10,freeagent
Christian Vázquez,christianvazquez,C,active,freeagent
James McCann,jamesmccann,C,IL10,freeagent
Danny Coulombe,dannycoulombe,RP,active,freeagent
Rob Refsnyder,robrefsnyder,OF,IL10,freeagent
Kyle Freeland,kylefreeland,SP,active,freeagent
Derek Hill,derekhill,OF,active,freeagent
Sean Newcomb,seannewcomb,"SP,RP",active,freeagent
Michael Conforto,michaelconforto,OF,active,freeagent
Josh Bell,joshbell,1B,active,freeagent
Alex Jackson,alexjackson,C,active,freeagent
Jeff Hoffman,jeffhoffman,RP,active,freeagent
Michael Lorenzen (Pitcher),michaellorenzen,"SP,RP",active,freeagent
Matthew Boyd,matthewboyd,SP,active,freeagent
Shawn Armstrong,shawnarmstrong,RP,active,freeagent
Colin Rea,colinrea,"SP,RP",active,freeagent
Luke Maile,lukemaile,C,active,freeagent
Elias Díaz,eliasdiaz,C,active,freeagent
Max Kepler,maxkepler,OF,active,freeagent
Adrian Houser,adrianhouser,SP,active,freeagent
Steven Okert,stevenokert,RP,active,freeagent
Mike Yastrzemski,mikeyastrzemski,OF,active,freeagent
Taylor Rogers,taylorrogers,RP,active,freeagent
Tyron Guerrero,tyronguerrero,RP,active,freeagent
Ryan Yarbrough,ryanyarbrough,"SP,RP",active,freeagent
Reynaldo López,reynaldolopez,"SP,RP",active,freeagent
